,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
19200,4 995 000 kr,+380 000 kr (+8 %),Villa,Äganderätt,4 rum,108 m²,,,310 m²,1993,26 445 kr/år,,,"Villa - Älta - Hedvigslund, Nacka kommun - Såld 16 september 2022",Stockholm,5 375 000 kr,villa,"Hedvigslund, Nacka kommun", 16 september 2022,10.299463377395943
19201,6 995 000 kr,+805 000 kr (+12 %),Villa,Äganderätt,7 rum,96 m²,107 m²,,774 m²,1948,39 669 kr/år,Ja,,"Villa - Centrala Sigtuna, Sigtuna kommun - Såld 15 september 2022",Stockholm,7 800 000 kr,villa,"Centrala Sigtuna, Sigtuna kommun", 15 september 2022,37.971490728230535
19202,10 495 000 kr,+725 000 kr (+7 %),Villa,Äganderätt,8 rum,155 m²,95 m²,,1 066 m²,1974,40 310 kr/år,Ja,,"Villa - Ellapark, Täby kommun - Såld 15 september 2022",Stockholm,11 220 000 kr,villa,"Ellapark, Täby kommun", 15 september 2022,13.69010385992244
19203,11 750 000 kr,+300 000 kr (+3 %),Villa,Äganderätt,6 rum,165 m²,72 m²,,610 m²,1976,48 100 kr/år,,,"Villa - Käppala, Lidingö kommun - Såld 15 september 2022",Stockholm,12 050 000 kr,villa,"Käppala, Lidingö kommun", 15 september 2022,8.913383281611866
19204,6 995 000 kr,+55 000 kr (+1 %),Villa,Äganderätt,5 rum,180 m²,,,4 486 m²,2010,65 188 kr/år,,,"Villa - Upplunda, Norrtälje kommun - Såld 15 september 2022",Stockholm,7 050 000 kr,villa,"Upplunda, Norrtälje kommun", 15 september 2022,64.76971830265407
19205,10 495 000 kr,+155 000 kr (+1 %),Villa,Äganderätt,6 rum,148 m²,,,726 m²,1998,45 912 kr/år,,,"Villa - Björknäs, Nacka kommun - Såld 15 september 2022",Stockholm,10 650 000 kr,villa,"Björknäs, Nacka kommun", 15 september 2022,9.674579327160814
19206,6 475 000 kr,+335 000 kr (+5 %),Villa,Äganderätt,6 rum,140 m²,,,"316,2 m²",1994,42 826 kr/år,,,"Villa - Stuvsta / Myrängen, Huddinge kommun - Såld 15 september 2022",Stockholm,6 810 000 kr,villa,"Stuvsta / Myrängen, Huddinge kommun", 15 september 2022,9.340089588553269
19207,4 450 000 kr,+1 150 000 kr (+26 %),Villa,Äganderätt,7 rum,92 m²,90 m²,,2 292 m²,1974,58 010 kr/år,,,"Villa - Lervik, Österåkers kommun - Såld 15 september 2022",Stockholm,5 600 000 kr,villa,"Lervik, Österåkers kommun", 15 september 2022,23.263151230030168
19208,7 490 000 kr,+410 000 kr (+5 %),Villa,Äganderätt,7 rum,156 m²,32 m²,,761 m²,1980,29 019 kr/år,,,"Villa - Nälsta, Stockholms kommun - Såld 15 september 2022",Stockholm,7 900 000 kr,villa,"Nälsta, Stockholms kommun", 15 september 2022,11.843198201722707
19209,9 750 000 kr,+350 000 kr (+4 %),Villa,Äganderätt,6 rum,140 m²,,,748 m²,2000,36 388 kr/år,,,"Villa - Älta, Nacka kommun - Såld 15 september 2022",Stockholm,10 100 000 kr,villa,"Älta, Nacka kommun", 15 september 2022,9.814081764075405
