,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
11200,3 990 000 kr,-90 000 kr (-2 %),Parhus,Äganderätt,5 rum,120 m²,,,219 m²,1974,43 420 kr/år,Ja,,"Parhus - Söra, Österåkers kommun - Såld 11 mars 2023",Stockholm,3 900 000 kr,RadHus,"Söra, Österåkers kommun", 11 mars 2023,21.943835710182334
11201,4 490 000 kr,-190 000 kr (-4 %),Radhus,Äganderätt,4 rum,130 m²,,,325 m²,1970,42 829 kr/år,,,"Radhus - Viksjö, Järfälla kommun - Såld 11 mars 2023",Stockholm,4 300 000 kr,RadHus,"Viksjö, Järfälla kommun", 11 mars 2023,18.13054118622004
11202,4 795 000 kr,-145 000 kr (-3 %),Radhus,Bostadsrätt,3 rum,"82,2 m²",,Ja,,1986,10 200 kr/år,Ja,,"Radhus - Österskär, Österåkers kommun - Såld 10 mars 2023",Stockholm,4 650 000 kr,RadHus,"Österskär, Österåkers kommun", 10 mars 2023,20.12957389264076
11203,6 750 000 kr,-250 000 kr (-4 %),Radhus,Bostadsrätt,6 rum,128 m²,27 m²,,,2022,24 000 kr/år,,,"Radhus - Tullinge Strand, Botkyrka kommun - Såld 10 mars 2023",Stockholm,6 500 000 kr,RadHus,"Tullinge Strand, Botkyrka kommun", 10 mars 2023,16.829577505476216
11204,3 695 000 kr,-445 000 kr (-12 %),Kedjehus,Äganderätt,5 rum,104 m²,27 m²,Ja,323 m²,1970,49 259 kr/år,Ja,,"Kedjehus - Brunnby Vik, Upplands Väsby kommun - Såld 10 mars 2023",Stockholm,3 250 000 kr,RadHus,"Brunnby Vik, Upplands Väsby kommun", 10 mars 2023,23.878886967435633
11205,10 250 000 kr,-1 000 000 kr (-10 %),Radhus,Äganderätt,6 rum,157 m²,76 m²,Ja,247 m²,1969,41 285 kr/år,Ja,,"Radhus - Lidingö, Lidingö kommun - Såld 10 mars 2023",Stockholm,9 250 000 kr,RadHus,"Lidingö, Lidingö kommun", 10 mars 2023,5.621411628137221
11206,5 495 000 kr,-45 000 kr (-1 %),Radhus,Bostadsrätt,4 rum,95 m²,,,,1999,26 676 kr/år,Ja,,"Radhus - Farsta Slottsvik, Värmdö kommun - Såld 10 mars 2023",Stockholm,5 450 000 kr,RadHus,"Farsta Slottsvik, Värmdö kommun", 10 mars 2023,not found
11207,3 395 000 kr,-145 000 kr (-4 %),Radhus,Äganderätt,4 rum,115 m²,,,337 m²,1977,37 804 kr/år,,,"Radhus - Ormsta, Vallentuna kommun - Såld 09 mars 2023",Stockholm,3 250 000 kr,RadHus,"Ormsta, Vallentuna kommun", 09 mars 2023,24.102629690158302
11208,5 495 000 kr,-145 000 kr (-3 %),Radhus,Äganderätt,5 rum,137 m²,7 m²,,238 m²,1975,25 600 kr/år,,,"Radhus - Täby Kyrkby, Täby kommun - Såld 09 mars 2023",Stockholm,5 350 000 kr,RadHus,"Täby Kyrkby, Täby kommun", 09 mars 2023,18.82468695474574
11209,4 175 000 kr,-75 000 kr (-2 %),Radhus,Äganderätt,6 rum,150 m²,20 m²,,208 m²,1977,41 700 kr/år,,,"Radhus - Centralt, Nynäshamns kommun - Såld 09 mars 2023",Stockholm,4 100 000 kr,RadHus,"Centralt, Nynäshamns kommun", 09 mars 2023,44.729722812363974
11210,4 695 000 kr,-95 000 kr (-2 %),Radhus,Äganderätt,5 rum,121 m²,33 m²,,225 m²,1984,56 000 kr/år,,,"Radhus - Skälby, Järfälla kommun - Såld 09 mars 2023",Stockholm,4 600 000 kr,RadHus,"Skälby, Järfälla kommun", 09 mars 2023,14.968832716922062
11211,3 995 000 kr,-95 000 kr (-2 %),Radhus,Bostadsrätt,3 rum,80 m²,,,,1944,16 800 kr/år,,,"Radhus - Vaxön, Vaxholms kommun - Såld 09 mars 2023",Stockholm,3 900 000 kr,RadHus,"Vaxön, Vaxholms kommun", 09 mars 2023,17.16440285400448
11212,4 995 000 kr,-195 000 kr (-4 %),Radhus,Äganderätt,5 rum,162 m²,42 m²,,377 m²,1972,39 800 kr/år,,,"Radhus - Vinsta, Stockholms kommun - Såld 09 mars 2023",Stockholm,4 800 000 kr,RadHus,"Vinsta, Stockholms kommun", 09 mars 2023,13.21636978507356
11213,6 995 000 kr,-95 000 kr (-1 %),Radhus,Bostadsrätt,7 rum,148 m²,,Ja,,2020,30 204 kr/år,Ja,"1 av 3, hiss finns ej","Radhus - Skarpäng, Täby kommun - Såld 08 mars 2023",Stockholm,6 900 000 kr,RadHus,"Skarpäng, Täby kommun", 08 mars 2023,13.568880017822565
11214,4 450 000 kr,-70 000 kr (-2 %),Radhus,Äganderätt,3 rum,80 m²,3 m²,,111 m²,2006,35 379 kr/år,,,"Radhus - Gustavsberg - Charlottendal, Värmdö kommun - Såld 08 mars 2023",Stockholm,4 380 000 kr,RadHus,"Charlottendal, Värmdö kommun", 08 mars 2023,18.23423982062886
11215,4 995 000 kr,-145 000 kr (-3 %),Kedjehus,Äganderätt,6 rum,140 m²,12 m²,,555 m²,1967,32 065 kr/år,,,"Kedjehus - Vällingby - Kälvesta, Stockholms kommun - Såld 08 mars 2023",Stockholm,4 850 000 kr,RadHus,"Kälvesta, Stockholms kommun", 08 mars 2023,13.954418234395128
