typeProperty,typeOfForm,rooms,size_x100,bisize_x100,balkong,tomtarea_x10000,buildArea,uteplats,floor,type,distance_from_city_center,price_evolution_numbers_per_million,asking_price_per_million,cost_per_year_x1000,price_per_m2_x10000,elevator
4,2,4.0,0.96,0.0,1,0.0,2.018,0,1.0,3,14.15381382901064,0.155,3.895,4.857,4.057291666666666,1.0
7,2,5.0,1.22,0.0,1,0.0,2.009,1,1.0,0,7.561757271831987,0.205,4.995,14.82,4.094262295081967,0.0
9,5,7.0,0.63,0.45,1,0.391,1.95,0,0.0,1,3.2241468883936544,0.105,3.995,43.3,3.6990740740740735,0.0
4,2,2.0,0.66,0.0,1,0.0,1.967,0,0.8333333333333334,3,17.000184248906404,-0.025,1.195,3.0,1.8106060606060608,1.0
1,5,3.0,0.54,0.0,1,0.2757,1.978,0,0.0,1,1.5439067402087117,0.1,1.1,13.86,2.0370370370370368,0.0
4,2,2.0,0.65,0.0,1,0.0,1.925,0,0.8333333333333334,3,32.65201132824177,-0.095,6.795,0.0,10.453846153846154,1.0
4,2,2.0,0.32,0.0,1,0.0,1.939,0,3.0,3,82.15897883123108,0.555,3.995,5.735,12.484375,1.0
1,5,2.0,0.29,0.12,1,0.3506,1.959,1,0.0,1,23.085758322576545,-0.335,1.795,14.979,4.378048780487805,0.0
3,5,4.0,1.07,0.0,1,0.0351,2.006,0,0.0,0,60.70480763502802,-0.255,3.75,46.915,3.504672897196261,0.0
3,5,6.0,1.37,0.3,1,0.0547,1.964,0,0.0,0,19.144311234655124,-0.175,6.475,28.9,3.877245508982036,0.0
4,2,4.0,1.11,0.0,1,0.0,2.018,0,0.2,3,18.99254730529422,-0.595,7.295,2.04,6.572072072072071,1.0
7,5,3.0,0.83,0.07,1,0.0183,1.978,1,0.0,0,13.519394160876049,-0.175,3.275,37.687,3.638888888888889,0.0
4,2,2.0,0.37,0.0,1,0.0,2.01,0,0.0,3,24.62077566918236,0.255,2.295,0.0,6.202702702702703,0.0
7,5,4.0,1.05,0.0,1,0.0221,1.974,0,0.0,0,22.68293017182527,-0.195,3.195,35.4,3.0428571428571427,0.0
4,2,1.0,0.3979999999999999,0.0,1,0.0,1.96,0,0.75,3,13.671944293644058,0.105,1.695,9.96,4.258793969849247,0.0
4,2,2.0,0.59,0.0,1,0.0,1.962,0,0.5555555555555556,3,17.117677991848467,0.505,2.995,0.0,5.076271186440678,1.0
4,2,2.0,0.57,0.0,1,0.0,1.951,0,0.3333333333333333,3,20.059618952402303,-0.05,1.85,4.2,3.24561403508772,1.0
8,5,6.0,1.25,1.57,1,0.0921,1.964,0,0.0,2,32.53824063684725,0.045,3.695,33.7,1.3102836879432624,0.0
4,2,4.0,1.0,0.0,1,0.0,0.0,0,2.0,3,22.146270311563043,-0.425,5.2,0.0,5.2,1.0
1,5,4.0,0.9,0.0,1,0.1846,1.976,0,0.0,1,2.824587541487726,0.19,0.8,0.0,0.8888888888888888,0.0
0,5,5.0,1.25,0.275,1,0.6601,1.98,0,0.0,1,12.053338152387177,-0.35,6.95,17.439,4.557377049180327,0.0
9,5,4.0,1.1,0.0,1,0.2967,2.023,1,0.0,1,2.204311024301888,-0.295,5.995,21.95,5.449999999999999,0.0
3,5,0.0,0.95,0.21,1,0.0893,1.964,0,0.0,0,25.809611146692088,0.155,1.995,37.3,1.7198275862068964,0.0
8,5,7.0,1.22,0.71,1,0.0516,1.936,0,0.0,2,60.713406281619214,0.2,10.9,39.7,5.647668393782384,0.0
9,5,3.0,0.45,0.25,1,0.2155,1.968,0,0.0,1,2.680789069336111,-0.095,1.795,33.455,2.564285714285714,0.0
7,5,4.0,0.93,0.0,1,0.014,1.962,0,0.0,0,16.532718300506904,0.825,3.495,41.34,3.758064516129033,0.0
4,2,1.0,0.385,0.0,1,0.0,1.964,0,0.3333333333333333,3,53.1064540042692,-0.09,1.25,4.32,3.2467532467532467,0.0
4,2,1.0,0.255,0.0,0,0.0,1.96,0,0.8571428571428571,3,17.242879847212553,0.085,1.495,2.4,5.862745098039215,1.0
8,5,6.0,1.42,0.0,1,0.0852,1.975,0,0.0,2,73.32415181488753,-0.395,5.695,35.05,4.010563380281691,0.0
8,5,6.0,1.53,0.25,1,0.0777,1.986,0,0.0,2,40.7892366679098,0.105,6.195,41.04,3.4803370786516856,0.0
1,5,3.0,0.75,0.2,1,0.2507,1.964,0,0.0,1,7.42168508873786,0.105,1.895,14.45,1.994736842105263,0.0
1,5,4.0,0.9,0.0,1,0.3753,1.909,0,0.0,1,0.0776966576604207,1.65,2.8,16.353,3.111111111111111,0.0
9,5,3.0,0.42,0.1,1,0.2743,1.962,0,0.0,2,72.43374388303485,-0.195,1.995,37.041,3.8365384615384617,0.0
4,2,2.0,0.56,0.0,1,0.0,1.974,0,4.0,3,16.888888483146268,0.26,3.25,7.056,5.803571428571428,1.0
8,5,7.0,1.86,0.3,1,0.0612,1.969,1,0.0,2,15.814198730656669,0.15,6.725,21.458,3.113425925925926,0.0
1,5,2.0,0.0,0.0,1,0.0582,0.0,0,0.0,1,2.801583630825069,-0.295,2.495,3.6,0.0,0.0
1,5,3.0,0.64,0.16,1,0.2644,1.968,0,0.0,1,0.0,-0.32,3.8,21.761,4.75,0.0
4,2,2.0,0.495,0.0,1,0.0,0.0,0,0.5,3,60.70480763502802,0.255,2.495,8.1,5.040404040404041,0.0
4,2,4.0,0.84,0.0,1,0.0,2.023,0,7.0,3,6.054629565664996,-0.145,8.195,16.356,9.75595238095238,1.0
8,5,6.0,1.46,0.0,1,0.1014,1.983,0,0.0,2,31.715209317062712,0.755,8.995,39.141,6.160958904109589,0.0
1,5,4.0,0.65,0.0,1,0.2752,1.969,0,0.0,1,14.139328542479907,0.305,1.495,19.268,2.3,0.0
4,2,2.0,0.52,0.0,1,0.0,1.947,0,0.6666666666666666,3,10.419008414563764,0.105,2.495,6.7,4.798076923076923,0.0
9,5,4.0,0.76,0.05,1,0.2168,1.991,0,0.0,1,10.692182195445415,-0.1,2.4,21.588,2.9629629629629632,0.0
4,2,4.0,1.11,0.0,1,0.0,2.018,1,0.0,3,16.22987130823462,0.555,5.995,0.0,5.400900900900901,0.0
1,5,3.0,0.4,0.0,1,0.2162,1.975,1,0.0,1,3.5889532706168565,0.26,1.295,14.155,3.2375,0.0
8,5,7.0,1.54,0.42,1,0.074,1.975,0,0.0,2,27.371482281576643,-0.295,7.995,47.5,4.079081632653061,0.0
8,5,5.0,1.16,0.0,1,0.2037,1.969,0,0.0,2,38.90692245768028,0.025,3.975,11.605,3.4267241379310347,0.0
6,5,5.0,1.08,0.42,1,0.0313,1.909,0,0.0,0,5.124117881026258,1.85,12.9,44.782,8.6,0.0
0,5,4.0,0.97,0.24,1,0.1008,1.9,0,0.0,1,16.725366455618126,-1.495,7.995,10.97,6.607438016528926,0.0
8,5,6.5,0.84,0.84,1,0.0379,1.939,0,0.0,2,27.659754051068354,0.425,6.395,36.4,3.806547619047619,0.0
4,2,3.0,0.68,0.0,1,0.0,1.96,0,1.0,3,38.69119009655,0.105,1.395,6.24,2.051470588235294,0.0
7,2,4.0,0.92,0.0,1,0.0,2.019,1,0.0,0,23.55481787421802,-0.2,4.195,27.3,4.559782608695652,0.0
9,5,3.0,0.64,0.58,1,0.2401,1.973,0,0.0,1,28.352817894852222,0.205,2.995,42.2,2.4549180327868854,0.0
8,5,5.0,0.84,0.43,1,0.0574,1.93,1,0.0,2,65.61035782849979,0.445,9.495,0.0,7.476377952755906,0.0
4,2,2.0,0.38,0.0,0,0.0,1.939,0,0.3333333333333333,3,20.910707688364766,-0.195,2.395,4.3,6.302631578947369,0.0
1,1,1.0,0.1,0.06,1,0.03,2.004,0,0.0,1,12.655880303503825,0.147,0.275,0.8,1.71875,0.0
4,2,1.0,0.335,0.0,1,0.0,0.0,0,0.3333333333333333,3,13.9293278652421,-0.15,1.15,4.296,3.432835820895522,0.0
1,5,2.0,0.94,0.0,1,0.3193,1.982,0,0.0,1,1.4211754666395584,0.025,3.975,32.192,4.22872340425532,0.0
8,5,6.0,1.52,0.0,1,0.0518,2.013,1,0.0,2,42.67669762734998,0.325,5.995,52.75,3.944078947368421,0.0
1,5,3.0,0.63,0.0,1,0.2205,1.963,1,0.0,1,1.5439067402087117,-0.17,2.495,27.552,3.96031746031746,0.0
1,1,1.0,0.2,0.0,1,0.0,1.981,0,0.0,1,4.918445209186294,0.025,0.495,3.5,2.475,0.0
9,5,2.0,0.72,0.0,1,0.2181,1.963,0,0.0,2,19.99678972957078,0.1,1.795,16.333,2.493055555555556,0.0
9,5,6.0,1.9,0.13,1,0.4267,2.003,1,0.0,2,32.65201132824177,2.35,9.9,34.959,4.876847290640394,0.0
8,2,4.0,1.03,0.0,1,0.0,1.99,0,0.0,2,74.44904544543692,0.15,1.25,34.8,1.2135922330097089,0.0
7,5,5.0,1.19,0.14,1,0.0171,1.973,1,0.0,0,14.876032527619332,0.205,3.995,38.624,3.0037593984962405,0.0
8,5,7.0,1.46,0.1,1,0.0345,1.996,0,0.0,2,50.4823105889031,0.555,6.495,46.944,4.163461538461538,0.0
7,2,7.0,1.4,0.0,1,0.0,1.954,1,0.0,0,0.0,-0.6,6.75,4.2,4.821428571428572,0.0
7,2,5.0,1.31,0.0,1,0.0,2.019,1,0.0,0,24.125014863406708,0.305,5.195,26.7,3.965648854961832,0.0
8,5,4.0,1.08,0.0,1,0.0481,1.97,0,0.0,2,35.51223142738201,0.105,6.395,24.427,5.921296296296297,0.0
4,2,1.0,0.25,0.0,1,0.0,1.947,0,1.0,3,40.05182131372796,-0.045,1.795,0.0,7.18,0.0
4,2,1.0,0.165,0.0,1,0.0,1.968,0,0.75,3,14.268643056961828,-0.155,0.95,0.0,5.757575757575758,1.0
7,2,4.0,0.89,0.0,1,0.0,1.985,1,0.0,0,6.482060212615949,-0.05,6.05,18.885,6.797752808988764,0.0
5,5,6.0,1.14,0.57,1,0.0235,1.966,1,0.0,0,20.22186284909492,0.1,3.65,60.075,2.1345029239766085,0.0
7,2,4.0,0.985,0.0,1,0.0,1.981,1,0.0,0,17.018250682402243,-0.145,3.895,11.4,3.954314720812183,0.0
7,5,7.0,1.47,0.17,1,0.0208,1.972,1,0.0,0,12.187203773106498,0.105,4.495,47.6,2.7408536585365857,0.0
4,2,3.0,0.685,0.0,1,0.0,1.983,1,0.5,3,16.22987130823462,-0.045,1.695,16.128,2.4744525547445257,0.0
