,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
16000,6 100 000 kr,-100 000 kr (-2 %),Villa,Äganderätt,5 rum,137 m²,,,444 m²,2004,57 300 kr/år,,,"Villa - Torshäll, Värmdö kommun - Såld 16 augusti 2023",Stockholm,6 000 000 kr,villa,"Torshäll, Värmdö kommun", 16 augusti 2023,23.203163532881607
16001,9 500 000 kr,-300 000 kr (-3 %),Villa,Äganderätt,5 rum,152 m²,35 m²,,824 m²,2006,43 796 kr/år,,,"Villa - Österskär, Österåkers kommun - Såld 15 augusti 2023",Stockholm,9 200 000 kr,villa,"Österskär, Österåkers kommun", 15 augusti 2023,20.12957389264076
16002,3 995 000 kr,-395 000 kr (-10 %),Villa,Äganderätt,2 rum,72 m²,69 m²,,1 594 m²,1953,23 912 kr/år,,,"Villa - Nykvarn, Nykvarns kommun - Såld 15 augusti 2023",Stockholm,3 600 000 kr,villa,"Nykvarn, Nykvarns kommun", 15 augusti 2023,40.051821313727956
16003,1 995 000 kr,-145 000 kr (-7 %),Villa,Bostadsrätt,2 rum,44 m²,,,,2022,12 000 kr/år,Ja,,"Villa - Högmora, Huddinge kommun - Såld 15 augusti 2023",Stockholm,1 850 000 kr,villa,"Högmora, Huddinge kommun", 15 augusti 2023,9.874817860959501
16004,4 795 000 kr,-220 000 kr (-5 %),Villa,Äganderätt,5 rum,67 m²,67 m²,,2 110 m²,1946,36 500 kr/år,,,"Villa - Västerhaninge, Haninge kommun - Såld 14 augusti 2023",Stockholm,4 575 000 kr,villa,"Västerhaninge, Haninge kommun", 14 augusti 2023,22.71049933189332
16005,3 950 000 kr,-270 000 kr (-7 %),Villa,Äganderätt,6 rum,188 m²,,,3 852 m²,1958,38 833 kr/år,,,"Villa - Enhörna, Södertälje kommun - Såld 14 augusti 2023",Stockholm,3 680 000 kr,villa,"Enhörna, Södertälje kommun", 14 augusti 2023,31.458335868775517
16006,6 900 000 kr,-50 000 kr (-1 %),Villa,Äganderätt,4 rum,134 m²,,,1 231 m²,1986,32 762 kr/år,,,"Villa - Karlberg, Vallentuna kommun - Såld 13 augusti 2023",Stockholm,6 850 000 kr,villa,"Karlberg, Vallentuna kommun", 13 augusti 2023,22.19667224451564
16007,7 495 000 kr,-195 000 kr (-3 %),Villa,Äganderätt,6 rum,185 m²,,,1 226 m²,1987,40 000 kr/år,,,"Villa - Björkhaga, Österåkers kommun - Såld 13 augusti 2023",Stockholm,7 300 000 kr,villa,"Björkhaga, Österåkers kommun", 13 augusti 2023,22.825051187772292
16008,5 975 000 kr,-145 000 kr (-2 %),Villa,Äganderätt,5 rum,124 m²,9 m²,,433 m²,2000,35 500 kr/år,Ja,,"Villa - Ingarö Fågelvik, Värmdö kommun - Såld 12 augusti 2023",Stockholm,5 830 000 kr,villa,"Ingarö Fågelvik, Värmdö kommun", 12 augusti 2023,21.734370276881055
16009,3 490 000 kr,-140 000 kr (-4 %),Villa,Äganderätt,4 rum,79 m²,8 m²,,3 770 m²,1910,8 975 kr/år,,,"Villa - Kungshatt, Ekerö kommun - Såld 11 augusti 2023",Stockholm,3 350 000 kr,villa,"Kungshatt, Ekerö kommun", 11 augusti 2023,10.746916362311701
