,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
1600,6 995 000 kr,-45 000 kr (-1 %),Lägenhet,Bostadsrätt,3 rum,73 m²,,Ja,,1927,9 360 kr/år,,"2 av 5, hiss finns","Lägenhet - Vasastan, Stockholms kommun - Såld 27 oktober 2023",Stockholm,6 950 000 kr,bostadsratt,"Vasastan, Stockholms kommun", 27 oktober 2023,2.2043110243018877
1601,2 995 000 kr,-170 000 kr (-6 %),Lägenhet,Bostadsrätt,4 rum,83 m²,,Ja,,2021,11 650 kr/år,,"2, hiss finns","Lägenhet - Östertälje, Södertälje kommun - Såld 27 oktober 2023",Stockholm,2 825 000 kr,bostadsratt,"Östertälje, Södertälje kommun", 27 oktober 2023,28.239827449778776
1602,6 850 000 kr,-260 000 kr (-4 %),Lägenhet,Bostadsrätt,3 rum,80 m²,,Ja,,2010,12 972 kr/år,,"4 av 15, hiss finns","Lägenhet - Lindhagen, Stockholms kommun - Såld 27 oktober 2023",Stockholm,6 590 000 kr,bostadsratt,"Lindhagen, Stockholms kommun", 27 oktober 2023,3.73306500537275
1603,1 650 000 kr,-75 000 kr (-5 %),Lägenhet,Bostadsrätt,1 rum,44 m²,,Ja,,1953,3 000 kr/år,,"2 av 3, hiss finns ej","Lägenhet - Centralt, Österåkers kommun - Såld 27 oktober 2023",Stockholm,1 575 000 kr,bostadsratt,"Centralt, Österåkers kommun", 27 oktober 2023,28.352817894852226
1604,2 195 000 kr,-110 000 kr (-5 %),Lägenhet,Bostadsrätt,4 rum,89 m²,,Ja,,1964,,,"1 av 3, hiss finns ej","Lägenhet - Tyresö Centrum, Tyresö kommun - Såld 27 oktober 2023",Stockholm,2 085 000 kr,bostadsratt,"Tyresö Centrum, Tyresö kommun", 27 oktober 2023,12.834385351655015
1605,1 995 000 kr,-45 000 kr (-2 %),Lägenhet,Bostadsrätt,1 rum,35 m²,,Nej,,1948,,,,"Lägenhet - Gamla Huvudsta, Solna kommun - Såld 27 oktober 2023",Stockholm,1 950 000 kr,bostadsratt,"Gamla Huvudsta, Solna kommun", 27 oktober 2023,5.20442485714181
1606,7 695 000 kr,-45 000 kr (-1 %),Lägenhet,Bostadsrätt,4 rum,82 m²,,Ja,,2016,11 500 kr/år,,"4 av 7, hiss finns","Lägenhet - Norra Djurgårdsstaden, Stockholms kommun - Såld 27 oktober 2023",Stockholm,7 650 000 kr,bostadsratt,"Norra Djurgårdsstaden, Stockholms kommun", 27 oktober 2023,3.3269467817708667
1607,2 200 000 kr,-200 000 kr (-9 %),Lägenhet,Bostadsrätt,4 rum,81 m²,,Ja,,2014,9 000 kr/år,,"2 av 2, hiss finns ej","Lägenhet - Solbacka, Norrtälje kommun - Såld 27 oktober 2023",Stockholm,2 000 000 kr,bostadsratt,"Solbacka, Norrtälje kommun", 27 oktober 2023,62.38231158513691
1608,1 895 000 kr,-100 000 kr (-5 %),Lägenhet,Bostadsrätt,1 rum,35 m²,,Ja,,2020,,,"2 av 5, hiss finns","Lägenhet - Åkersberga Centralt, Österåkers kommun - Såld 27 oktober 2023",Stockholm,1 795 000 kr,bostadsratt,"Åkersberga Centralt, Österåkers kommun", 27 oktober 2023,not found
1609,3 150 000 kr,-60 000 kr (-2 %),Lägenhet,Bostadsrätt,"1,5 rum","31,5 m²",,Nej,,1925,,,"1 av 5, hiss finns ej","Lägenhet - Vasastan Rödabergen, Stockholms kommun - Såld 27 oktober 2023",Stockholm,3 090 000 kr,bostadsratt,"Vasastan Rödabergen, Stockholms kommun", 27 oktober 2023,not found
