,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
4800,2 495 000 kr,+355 000 kr (+14 %),Lägenhet,Bostadsrätt,1 rum,"23,6 m²",,Nej,,1924,5 880 kr/år,,,"Lägenhet - Birkastan, Stockholms kommun - Såld 20 oktober 2023",Stockholm,2 850 000 kr,bostadsratt,"Birkastan, Stockholms kommun", 20 oktober 2023,2.8027107776719475
4801,2 950 000 kr,+100 000 kr (+3 %),Lägenhet,Bostadsrätt,2 rum,"54,5 m²",,Ja,,2015,8 794 kr/år,,"5 av 6, hiss finns","Lägenhet - Järvastaden, Solna kommun - Såld 20 oktober 2023",Stockholm,3 050 000 kr,bostadsratt,"Järvastaden, Solna kommun", 20 oktober 2023,7.676123017301106
4802,4 675 000 kr,+125 000 kr (+3 %),Lägenhet,Bostadsrätt,3 rum,"75,5 m²",,Ja,,,5 400 kr/år,,"2 av 3, hiss finns ej","Lägenhet - Årsta, Stockholms kommun - Såld 20 oktober 2023",Stockholm,4 800 000 kr,bostadsratt,"Årsta, Stockholms kommun", 20 oktober 2023,3.3551869045198557
4803,1 995 000 kr,+105 000 kr (+5 %),Lägenhet,Bostadsrätt,1 rum,34 m²,,Nej,,1972,3 900 kr/år,,"2 av 4, hiss finns","Lägenhet - Karolinska, Solna kommun - Såld 20 oktober 2023",Stockholm,2 100 000 kr,bostadsratt,"Karolinska, Solna kommun", 20 oktober 2023,3.722509497208806
4804,4 995 000 kr,+55 000 kr (+1 %),Lägenhet,Bostadsrätt,"2,5 rum",53 m²,,Ja,,1912,,,"1 av 4, hiss finns ej","Lägenhet - Vasastan, Stockholms kommun - Såld 20 oktober 2023",Stockholm,5 050 000 kr,bostadsratt,"Vasastan, Stockholms kommun", 20 oktober 2023,2.2043110243018877
4805,2 395 000 kr,+105 000 kr (+4 %),Lägenhet,Bostadsrätt,3 rum,78 m²,,Ja,,1971,7 056 kr/år,,"2 av 7, hiss finns","Lägenhet - Älta - Stensö, Nacka kommun - Såld 20 oktober 2023",Stockholm,2 500 000 kr,bostadsratt,"Stensö, Nacka kommun", 20 oktober 2023,9.605640548162867
4806,2 095 000 kr,+175 000 kr (+8 %),Lägenhet,Bostadsrätt,2 rum,57 m²,,Ja,,1954,,,"2 av 3, hiss finns ej","Lägenhet - Bandhagen, Stockholms kommun - Såld 20 oktober 2023",Stockholm,2 270 000 kr,bostadsratt,"Bandhagen, Stockholms kommun", 20 oktober 2023,6.227841517853455
4807,1 195 000 kr,+15 000 kr (+1 %),Lägenhet,Bostadsrätt,"1,5 rum","34,7 m²",,Nej,,1965,2 400 kr/år,Ja,"-2 av 5, hiss finns","Lägenhet - Järna, Södertälje kommun - Såld 20 oktober 2023",Stockholm,1 210 000 kr,bostadsratt,"Järna, Södertälje kommun", 20 oktober 2023,38.90692245768028
4808,3 395 000 kr,+100 000 kr (+3 %),Lägenhet,Bostadsrätt,2 rum,47 m²,,Ja,,1935,,,,"Lägenhet - Ekhagen - Norra Djurgården, Stockholms kommun - Såld 20 oktober 2023",Stockholm,3 495 000 kr,bostadsratt,"Norra Djurgården, Stockholms kommun", 20 oktober 2023,4.278305310373643
4809,9 995 000 kr,+955 000 kr (+10 %),Lägenhet,Bostadsrätt,5 rum,127 m²,,Ja,,1967,,,"5 av 5, hiss finns","Lägenhet - Södermalm, Stockholms kommun - Såld 20 oktober 2023",Stockholm,10 950 000 kr,bostadsratt,"Södermalm, Stockholms kommun", 20 oktober 2023,1.4211754666395584
4810,5 900 000 kr,+100 000 kr (+2 %),Lägenhet,Bostadsrätt,2 rum,68 m²,,Ja,,1935,7 100 kr/år,,"4 av 6, hiss finns","Lägenhet - Kungsholmen - Fredhäll, Stockholms kommun - Såld 20 oktober 2023",Stockholm,6 000 000 kr,bostadsratt,"Fredhäll, Stockholms kommun", 20 oktober 2023,3.9101333407043333
4811,2 995 000 kr,+85 000 kr (+3 %),Lägenhet,Bostadsrätt,3 rum,"76,9 m²",,Ja,,1991,4 200 kr/år,,"3 av 4, hiss finns","Lägenhet - Sollentuna Centrum, Sollentuna kommun - Såld 20 oktober 2023",Stockholm,3 080 000 kr,bostadsratt,"Sollentuna Centrum, Sollentuna kommun", 20 oktober 2023,13.364645512130709
4812,2 095 000 kr,+105 000 kr (+5 %),Lägenhet,Bostadsrätt,1 rum,34 m²,,Nej,,1972,4 200 kr/år,,"4 av 4, hiss finns","Lägenhet - Karolinska, Solna kommun - Såld 20 oktober 2023",Stockholm,2 200 000 kr,bostadsratt,"Karolinska, Solna kommun", 20 oktober 2023,3.722509497208806
