,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
13600,5 995 000 kr,+105 000 kr (+2 %),Radhus,Tomträtt,5 rum,127 m²,34 m²,,309 m²,1963,67 332 kr/år,,,"Radhus - Farsta, Stockholms kommun - Såld 12 januari 2023",Stockholm,6 100 000 kr,RadHus,"Farsta, Stockholms kommun", 12 januari 2023,8.940762407424922
13601,3 995 000 kr,+455 000 kr (+11 %),Radhus,Bostadsrätt,"4,5 rum",111 m²,,,,2021,25 344 kr/år,,"1 av 2, hiss finns ej","Radhus - Runby, Upplands Väsby kommun - Såld 11 januari 2023",Stockholm,4 450 000 kr,RadHus,"Runby, Upplands Väsby kommun", 11 januari 2023,24.125014863406708
13602,7 450 000 kr,+100 000 kr (+1 %),Kedjehus,Äganderätt,6 rum,144 m²,13 m²,,482 m²,1959,42 700 kr/år,,,"Kedjehus - Vällingbyhöjden, Stockholms kommun - Såld 06 januari 2023",Stockholm,7 550 000 kr,RadHus,"Vällingbyhöjden, Stockholms kommun", 06 januari 2023,0.0
13603,5 995 000 kr,+905 000 kr (+15 %),Radhus,Äganderätt,5 rum,130 m²,25 m²,,411 m²,1964,62 599 kr/år,Ja,,"Radhus - Farsta, Stockholms kommun - Såld 28 december 2022",Stockholm,6 900 000 kr,RadHus,"Farsta, Stockholms kommun", 28 december 2022,8.940762407424922
13604,6 775 000 kr,+225 000 kr (+3 %),Radhus,Bostadsrätt,7 rum,133 m²,29 m²,,,,43 200 kr/år,,,"Radhus - Vällingbyhöjden, Stockholms kommun - Såld 28 december 2022",Stockholm,7 000 000 kr,RadHus,"Vällingbyhöjden, Stockholms kommun", 28 december 2022,0.0
13605,2 995 000 kr,+405 000 kr (+14 %),Radhus,Äganderätt,4 rum,118 m²,5 m²,,158 m²,1982,48 063 kr/år,,,"Radhus - Södra Nynäshamn, Nynäshamns kommun - Såld 22 december 2022",Stockholm,3 400 000 kr,RadHus,"Södra Nynäshamn, Nynäshamns kommun", 22 december 2022,51.01503078672773
13606,2 995 000 kr,+305 000 kr (+10 %),Radhus,Bostadsrätt,5 rum,"113,2 m²",,,,1991,22 512 kr/år,,,"Radhus - Södra Haga, Vallentuna kommun - Såld 21 december 2022",Stockholm,3 300 000 kr,RadHus,"Södra Haga, Vallentuna kommun", 21 december 2022,30.754502903493165
13607,3 995 000 kr,+305 000 kr (+8 %),Radhus,Äganderätt,5 rum,134 m²,,,199 m²,1973,36 257 kr/år,,,"Radhus - Hässelby Villastad, Stockholms kommun - Såld 20 december 2022",Stockholm,4 300 000 kr,RadHus,"Hässelby Villastad, Stockholms kommun", 20 december 2022,16.028198594857745
13608,4 395 000 kr,+105 000 kr (+2 %),Radhus,Bostadsrätt,4 rum,"97,8 m²",,,,1989,46 752 kr/år,Ja,,"Radhus - Gribbylund, Täby kommun - Såld 18 december 2022",Stockholm,4 500 000 kr,RadHus,"Gribbylund, Täby kommun", 18 december 2022,15.261665453559546
13609,2 795 000 kr,+155 000 kr (+6 %),Radhus,Bostadsrätt,2 rum,68 m²,21 m²,Ja,,1988,20 076 kr/år,Ja,,"Radhus - Centralt, Upplands Väsby kommun - Såld 18 december 2022",Stockholm,2 950 000 kr,RadHus,"Centralt, Upplands Väsby kommun", 18 december 2022,23.069885175593264
