,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
8000,1 250 000 kr,+255 000 kr (+20 %),Fritidshus,Annat,2 rum,40 m²,,,368 m²,1958,3 490 kr/år,,,"Fritidshus - Ekerö Nibbla, Ekerö kommun - Såld 13 maj 2022",Stockholm,1 505 000 kr,fritidshus,"Ekerö Nibbla, Ekerö kommun", 13 maj 2022,24.52232454459245
8001,695 000 kr,+215 000 kr (+31 %),Vinterbonat fritidshus,Annat,3 rum,55 m²,,,2 500 m²,,8 600 kr/år,,,"Vinterbonat fritidshus - MÖRKÖ, Södertälje kommun - Såld 12 maj 2022",Stockholm,910 000 kr,fritidshus,"MÖRKÖ, Södertälje kommun", 12 maj 2022,44.63192997479822
8002,1 495 000 kr,+280 000 kr (+19 %),Fritidshus,Äganderätt,3 rum,74 m²,,,2 393 m²,1976,18 510 kr/år,,,"Fritidshus - Herrängs Tomtområde, Norrtälje kommun - Såld 12 maj 2022",Stockholm,1 775 000 kr,fritidshus,"Herrängs Tomtområde, Norrtälje kommun", 12 maj 2022,78.81528876051584
8003,1 500 000 kr,+800 000 kr (+53 %),Fritidshus,Äganderätt,3 rum,50 m²,,,2 850 m²,1980,14 322 kr/år,,,"Fritidshus - Landfjärden, Nynäshamns kommun - Såld 12 maj 2022",Stockholm,2 300 000 kr,fritidshus,"Landfjärden, Nynäshamns kommun", 12 maj 2022,32.55334501913337
8004,2 250 000 kr,+450 000 kr (+20 %),Vinterbonat fritidshus,Äganderätt,4 rum,65 m²,,,2 249 m²,1977,30 784 kr/år,,,"Vinterbonat fritidshus - Hammarskogen, Norrtälje kommun - Såld 12 maj 2022",Stockholm,2 700 000 kr,fritidshus,"Hammarskogen, Norrtälje kommun", 12 maj 2022,92.4340555857047
8005,2 895 000 kr,+905 000 kr (+31 %),Vinterbonat fritidshus,Äganderätt,3 rum,48 m²,,,2 329 m²,1909,25 764 kr/år,Ja,,"Vinterbonat fritidshus - Brottby, Vallentuna kommun - Såld 11 maj 2022",Stockholm,3 800 000 kr,fritidshus,"Brottby, Vallentuna kommun", 11 maj 2022,27.94167821143715
8006,3 990 000 kr,+310 000 kr (+8 %),Vinterbonat fritidshus,Äganderätt,3 rum,53 m²,10 m²,,2 721 m²,1977,18 898 kr/år,Ja,,"Vinterbonat fritidshus - Älvsala, Värmdö kommun - Såld 11 maj 2022",Stockholm,4 300 000 kr,fritidshus,"Älvsala, Värmdö kommun", 11 maj 2022,31.715209317062712
8007,9 000 000 kr,+1 000 000 kr (+11 %),Fritidshus,Äganderätt,4 rum,97 m²,,,3 540 m²,1941,26 660 kr/år,Ja,,"Fritidshus - Vaxholm, Vaxholms kommun - Såld 11 maj 2022",Stockholm,10 000 000 kr,fritidshus,"Vaxholm, Vaxholms kommun", 11 maj 2022,17.21465698977472
8008,1 795 000 kr,+115 000 kr (+6 %),Vinterbonat fritidshus,Äganderätt,4 rum,128 m²,"11,5 m²",,2 141 m²,1964,25 973 kr/år,,,"Vinterbonat fritidshus - Finsta, Norrtälje kommun - Såld 11 maj 2022",Stockholm,1 910 000 kr,fritidshus,"Finsta, Norrtälje kommun", 11 maj 2022,51.69420259026258
8009,3 795 000 kr,+505 000 kr (+13 %),Vinterbonat fritidshus,Äganderätt,3 rum,70 m²,,,2 246 m²,2014,20 668 kr/år,,,"Vinterbonat fritidshus - Djurhamn, Värmdö kommun - Såld 11 maj 2022",Stockholm,4 300 000 kr,fritidshus,"Djurhamn, Värmdö kommun", 11 maj 2022,36.81340877153815
8010,1 495 000 kr,+205 000 kr (+14 %),Fritidshus,Äganderätt,3 rum,45 m²,,,2 583 m²,1988,17 173 kr/år,,,"Fritidshus - Källsmora, Norrtälje kommun - Såld 10 maj 2022",Stockholm,1 700 000 kr,fritidshus,"Källsmora, Norrtälje kommun", 10 maj 2022,41.64810972742738
8011,1 995 000 kr,+415 000 kr (+21 %),Fritidshus,Äganderätt,3 rum,65 m²,7 m²,,3 194 m²,1969,13 821 kr/år,,,"Fritidshus - Spillersboda, Norrtälje kommun - Såld 10 maj 2022",Stockholm,2 410 000 kr,fritidshus,"Spillersboda, Norrtälje kommun", 10 maj 2022,61.216626144008494
