,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
18400,6 200 000 kr,+200 000 kr (+3 %),Villa,Äganderätt,6 rum,125 m²,72 m²,,928 m²,1968,49 106 kr/år,,,"Villa - Ekerö Närlunda, Ekerö kommun - Såld 25 maj 2023",Stockholm,6 400 000 kr,villa,"Ekerö Närlunda, Ekerö kommun", 25 maj 2023,16.572887749789114
18401,8 995 000 kr,+405 000 kr (+5 %),Villa,Äganderätt,7 rum,150 m²,36 m²,,883 m²,1984,40 769 kr/år,,,"Villa - Skarpäng, Täby kommun - Såld 25 maj 2023",Stockholm,9 400 000 kr,villa,"Skarpäng, Täby kommun", 25 maj 2023,13.568880017822565
18402,2 195 000 kr,+645 000 kr (+29 %),Vinterbonat fritidshus,Äganderätt,3 rum,71 m²,,,2 870 m²,1962,22 109 kr/år,,,"Vinterbonat fritidshus - Håknäs, Norrtälje kommun - Såld 25 maj 2023",Stockholm,2 840 000 kr,villa,"Håknäs, Norrtälje kommun", 25 maj 2023,71.25719869598498
18403,13 250 000 kr,+1 750 000 kr (+13 %),Villa,Äganderätt,3 rum,120 m²,56 m²,,792 m²,2006,31 180 kr/år,,,"Villa - Ekerö Skärvik, Ekerö kommun - Såld 24 maj 2023",Stockholm,15 000 000 kr,villa,"Ekerö Skärvik, Ekerö kommun", 24 maj 2023,15.923334364635103
18404,1 925 000 kr,+175 000 kr (+9 %),Villa,Äganderätt,4 rum,70 m²,14 m²,,2 515 m²,1965,26 454 kr/år,,,"Villa - Garns Ekskogen, Vallentuna kommun - Såld 24 maj 2023",Stockholm,2 100 000 kr,villa,"Garns Ekskogen, Vallentuna kommun", 24 maj 2023,36.38713328742043
18405,9 800 000 kr,+250 000 kr (+3 %),Villa,Äganderätt,7 rum,181 m²,6 m²,,1 478 m²,1920,32 400 kr/år,,,"Villa - Töjnan, Sollentuna kommun - Såld 24 maj 2023",Stockholm,10 050 000 kr,villa,"Töjnan, Sollentuna kommun", 24 maj 2023,13.678873453975875
18406,8 850 000 kr,+150 000 kr (+2 %),Villa,Äganderätt,6 rum,95 m²,101 m²,Ja,537 m²,1942,46 255 kr/år,Ja,,"Villa - Tallkrogen, Stockholms kommun - Såld 24 maj 2023",Stockholm,9 000 000 kr,villa,"Tallkrogen, Stockholms kommun", 24 maj 2023,6.030318927220662
18407,10 975 000 kr,+1 325 000 kr (+12 %),Villa,Äganderätt,6 rum,303 m²,40 m²,,901 m²,2012,60 000 kr/år,,,"Villa - Skälsätra, Tyresö kommun - Såld 24 maj 2023",Stockholm,12 300 000 kr,villa,"Skälsätra, Tyresö kommun", 24 maj 2023,14.85568557554972
18408,4 100 000 kr,+1 930 000 kr (+47 %),Villa,Tomträtt,8 rum,135 m²,81 m²,,604 m²,1968,,,,"Villa - Sätra, Sätragårdsvägen, Stockholms kommun - Såld 24 maj 2023",Stockholm,6 030 000 kr,villa,"Sätra, Sätragårdsvägen, Stockholms kommun", 24 maj 2023,10.246745304153972
18409,5 495 000 kr,+67 500 kr (+1 %),Villa,Äganderätt,5 rum,145 m²,30 m²,,1 280 m²,1960,26 491 kr/år,,,"Villa - Hanviken, Tyresö kommun - Såld 24 maj 2023",Stockholm,5 562 500 kr,villa,"Hanviken, Tyresö kommun", 24 maj 2023,12.779738917431176
18410,11 300 000 kr,+200 000 kr (+2 %),Villa,Äganderätt,7 rum,113 m²,55 m²,,500 m²,1934,34 234 kr/år,,,"Villa - Bromma - Norra Ängby, Stockholms kommun - Såld 24 maj 2023",Stockholm,11 500 000 kr,villa,"Norra Ängby, Stockholms kommun", 24 maj 2023,9.669580299415271
