,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
5621,3 990 000 kr,-490 000 kr (-12 %),Vinterbonat fritidshus,Äganderätt,4 rum,54 m²,,,2 530 m²,1965,18 844 kr/år,,,"Vinterbonat fritidshus - Vindö, Värmdö kommun - Såld 22 oktober 2021",Stockholm,3 500 000 kr,fritidshus,"Vindö, Värmdö kommun", 22 oktober 2021,35.814051815337876
5622,995 000 kr,-65 000 kr (-7 %),Fritidshus,Äganderätt,3 rum,33 m²,,,302 m²,1989,12 020 kr/år,Ja,,"Fritidshus - Grödinge, Botkyrka kommun - Såld 22 oktober 2021",Stockholm,930 000 kr,fritidshus,"Grödinge, Botkyrka kommun", 22 oktober 2021,25.809611146692088
5623,3 650 000 kr,-450 000 kr (-12 %),Vinterbonat fritidshus,Äganderätt,4 rum,"107,5 m²",,,3 469 m²,2006,10 071 kr/år,Ja,,"Vinterbonat fritidshus - Västernäs, Norrtälje kommun - Såld 21 oktober 2021",Stockholm,3 200 000 kr,fritidshus,"Västernäs, Norrtälje kommun", 21 oktober 2021,81.69022833933086
5624,1 395 000 kr,-15 000 kr (-1 %),Fritidshus,Äganderätt,3 rum,45 m²,,,2 134 m²,1970,12 470 kr/år,,,"Fritidshus - Annelund, Norrtälje kommun - Såld 21 oktober 2021",Stockholm,1 380 000 kr,fritidshus,"Annelund, Norrtälje kommun", 21 oktober 2021,74.2791511656175
5625,1 950 000 kr,-250 000 kr (-13 %),Vinterbonat fritidshus,Äganderätt,3 rum,51 m²,,,1 509 m²,1976,27 956 kr/år,,,"Vinterbonat fritidshus - Bergshamra - Enviken, Norrtälje kommun - Såld 21 oktober 2021",Stockholm,1 700 000 kr,fritidshus,"Enviken, Norrtälje kommun", 21 oktober 2021,45.90376140600314
5626,1 450 000 kr,-250 000 kr (-17 %),Fritidshus,Annat,3 rum,88 m²,35 m²,,2 500 m²,1965,11 000 kr/år,,,"Fritidshus - Mörkö, Södertälje kommun - Såld 21 oktober 2021",Stockholm,1 200 000 kr,fritidshus,"Mörkö, Södertälje kommun", 21 oktober 2021,44.63192997479822
5627,1 995 000 kr,-75 000 kr (-4 %),Vinterbonat fritidshus,Äganderätt,4 rum,69 m²,,,1 962 m²,1964,29 161 kr/år,,,"Vinterbonat fritidshus - Edeby, Norrtälje kommun - Såld 18 oktober 2021",Stockholm,1 920 000 kr,fritidshus,"Edeby, Norrtälje kommun", 18 oktober 2021,86.67772933176269
5628,2 475 000 kr,-50 000 kr (-2 %),Fritidshus,Äganderätt,3 rum,54 m²,,,2 308 m²,1970,26 785 kr/år,,,"Fritidshus - Addarsnäs, Norrtälje kommun - Såld 15 oktober 2021",Stockholm,2 425 000 kr,fritidshus,"Addarsnäs, Norrtälje kommun", 15 oktober 2021,49.071011103807145
5629,2 850 000 kr,-50 000 kr (-2 %),Vinterbonat fritidshus,Äganderätt,3 rum,48 m²,,,2 752 m²,1964,15 717 kr/år,,,"Vinterbonat fritidshus - Runmarö Storön, Värmdö kommun - Såld 14 oktober 2021",Stockholm,2 800 000 kr,fritidshus,"Runmarö Storön, Värmdö kommun", 14 oktober 2021,37.69061576076314
5630,2 495 000 kr,-395 000 kr (-16 %),Fritidshus,Äganderätt,5 rum,80 m²,,,2 934 m²,1960,,Ja,,"Fritidshus - Alholmen, Upplands-Bro kommun - Såld 12 oktober 2021",Stockholm,2 100 000 kr,fritidshus,"Alholmen, Upplands-Bro kommun", 12 oktober 2021,33.811020172833864
5631,2 695 000 kr,-245 000 kr (-9 %),Fritidshus,Äganderätt,,31 m²,16 m²,,3 120 m²,1950,844 kr/år,,,"Fritidshus - Grindmossen, Österåkers kommun - Såld 12 oktober 2021",Stockholm,2 450 000 kr,fritidshus,"Grindmossen, Österåkers kommun", 12 oktober 2021,25.54477425373243
5632,1 650 000 kr,-100 000 kr (-6 %),Fritidshus,Annat,1 rum,19 m²,,,300 m²,1988,10 300 kr/år,,,"Fritidshus - Hjortens odling/Malma, Värmdö kommun - Såld 11 oktober 2021",Stockholm,1 550 000 kr,fritidshus,"Hjortens odling/Malma, Värmdö kommun", 11 oktober 2021,not found
5633,1 895 000 kr,-65 000 kr (-3 %),Fritidshus,Äganderätt,3 rum,56 m²,,,2 006 m²,1974,21 522 kr/år,,,"Fritidshus - Björknäs, Norrtälje kommun - Såld 08 oktober 2021",Stockholm,1 830 000 kr,fritidshus,"Björknäs, Norrtälje kommun", 08 oktober 2021,65.61035782849979
5634,875 000 kr,-65 000 kr (-7 %),Fritidshus,Äganderätt,,,,,1 900 m²,,2 500 kr/år,,,"Fritidshus - Rimbo Gottröra, Norrtälje kommun - Såld 07 oktober 2021",Stockholm,810 000 kr,fritidshus,"Rimbo Gottröra, Norrtälje kommun", 07 oktober 2021,46.41761279666117
5635,4 995 000 kr,-495 000 kr (-10 %),Fritidshus,Äganderätt,4 rum,60 m²,,,1 862 m²,1959,28 200 kr/år,Ja,,"Fritidshus - Vidja, Huddinge kommun - Såld 05 oktober 2021",Stockholm,4 500 000 kr,fritidshus,"Vidja, Huddinge kommun", 05 oktober 2021,14.268643056961828
5636,1 995 000 kr,-95 000 kr (-5 %),Fritidshus,Äganderätt,3 rum,41 m²,8 m²,,2 367 m²,1972,11 100 kr/år,,,"Fritidshus - Flisbergen, Norrtälje kommun - Såld 04 oktober 2021",Stockholm,1 900 000 kr,fritidshus,"Flisbergen, Norrtälje kommun", 04 oktober 2021,90.20599589084942
5637,1 995 000 kr,-195 000 kr (-10 %),Fritidshus,Äganderätt,2 rum,73 m²,,,2 307 m²,1977,26 650 kr/år,,,"Fritidshus - Drottningdal, Norrtälje kommun - Såld 04 oktober 2021",Stockholm,1 800 000 kr,fritidshus,"Drottningdal, Norrtälje kommun", 04 oktober 2021,68.68696264016701
5638,4 750 000 kr,-150 000 kr (-3 %),Vinterbonat fritidshus,Äganderätt,3 rum,72 m²,,,2 245 m²,1970,30 340 kr/år,,,"Vinterbonat fritidshus - Klyppingen, Norrtälje kommun - Såld 03 oktober 2021",Stockholm,4 600 000 kr,fritidshus,"Klyppingen, Norrtälje kommun", 03 oktober 2021,57.095168235601214
5639,1 995 000 kr,-45 000 kr (-2 %),Fritidshus,Äganderätt,4 rum,72 m²,60 m²,,2 196 m²,1966,18 595 kr/år,,,"Fritidshus - Ljusterö-Vadholma, Österåkers kommun - Såld 01 oktober 2021",Stockholm,1 950 000 kr,fritidshus,"Ljusterö-Vadholma, Österåkers kommun", 01 oktober 2021,31.081802842029212
5640,1 495 000 kr,-295 000 kr (-20 %),Fritidshus,Äganderätt,2 rum,33 m²,,,348 m²,1988,10 300 kr/år,,,"Fritidshus - Tungelsta, Haninge kommun - Såld 26 september 2021",Stockholm,1 200 000 kr,fritidshus,"Tungelsta, Haninge kommun", 26 september 2021,24.620775669182358
5641,2 695 000 kr,-45 000 kr (-2 %),Fritidshus,Äganderätt,4 rum,80 m²,50 m²,,2 412 m²,2004,28 778 kr/år,,,"Fritidshus - Stockholms Skärgård, Norrtälje kommun - Såld 23 september 2021",Stockholm,2 650 000 kr,fritidshus,"Stockholms Skärgård, Norrtälje kommun", 23 september 2021,86.92999163236092
5642,595 000 kr,-160 000 kr (-27 %),Fritidshus,Annat,2 rum,33 m²,,,400 m²,,,,,"Fritidshus - eklundsnäs koloniområde, Södertälje kommun - Såld 23 september 2021",Stockholm,435 000 kr,fritidshus,"eklundsnäs koloniområde, Södertälje kommun", 23 september 2021,32.13463369321756
5643,3 495 000 kr,-495 000 kr (-14 %),Vinterbonat fritidshus,Äganderätt,3 rum,100 m²,,,3 597 m²,1969,56 600 kr/år,,,"Vinterbonat fritidshus - Fjällsvik, Värmdö kommun - Såld 23 september 2021",Stockholm,3 000 000 kr,fritidshus,"Fjällsvik, Värmdö kommun", 23 september 2021,36.84274109665432
5644,2 995 000 kr,-295 000 kr (-10 %),Fritidshus,Äganderätt,3 rum,70 m²,,,2 867 m²,1972,18 589 kr/år,,,"Fritidshus - Ortalalund, Norrtälje kommun - Såld 23 september 2021",Stockholm,2 700 000 kr,fritidshus,"Ortalalund, Norrtälje kommun", 23 september 2021,84.86188120973698
5645,675 000 kr,-50 000 kr (-7 %),Fritidshus,Annat,1 rum,15 m²,,,300 m²,1984,2 560 kr/år,,,"Fritidshus - Bro, Upplands-Bro kommun - Såld 21 september 2021",Stockholm,625 000 kr,fritidshus,"Bro, Upplands-Bro kommun", 21 september 2021,32.21269751597232
5646,3 750 000 kr,-900 000 kr (-24 %),Fritidshus,Äganderätt,3 rum,135 m²,,,5 813 m²,1909,38 768 kr/år,,,"Fritidshus - Väddö, Norrtälje kommun - Såld 18 september 2021",Stockholm,2 850 000 kr,fritidshus,"Väddö, Norrtälje kommun", 18 september 2021,86.89101110970901
5647,2 495 000 kr,-100 000 kr (-4 %),Vinterbonat fritidshus,Äganderätt,4 rum,86 m²,,,2 034 m²,2014,17 288 kr/år,,,"Vinterbonat fritidshus - Skebobruk, Norrtälje kommun - Såld 17 september 2021",Stockholm,2 395 000 kr,fritidshus,"Skebobruk, Norrtälje kommun", 17 september 2021,77.90231001915959
5648,2 175 000 kr,-75 000 kr (-3 %),Vinterbonat fritidshus,Äganderätt,4 rum,54 m²,,,1 467 m²,2001,27 140 kr/år,,,"Vinterbonat fritidshus - Harka, Norrtälje kommun - Såld 17 september 2021",Stockholm,2 100 000 kr,fritidshus,"Harka, Norrtälje kommun", 17 september 2021,62.393452195848845
5649,2 200 000 kr,-200 000 kr (-9 %),Fritidshus,Äganderätt,5 rum,123 m²,,,6 173 m²,1896,,,,"Fritidshus - Älmsta, Norrtälje kommun - Såld 16 september 2021",Stockholm,2 000 000 kr,fritidshus,"Älmsta, Norrtälje kommun", 16 september 2021,83.02318384282832
5650,2 195 000 kr,-245 000 kr (-11 %),Vinterbonat fritidshus,Äganderätt,3 rum,60 m²,,,2 030 m²,1980,31 188 kr/år,,,"Vinterbonat fritidshus - Ortala, Norrtälje kommun - Såld 10 september 2021",Stockholm,1 950 000 kr,fritidshus,"Ortala, Norrtälje kommun", 10 september 2021,84.18687081973796
5651,1 200 000 kr,-25 000 kr (-2 %),Fritidshus,Äganderätt,2 rum,46 m²,,,3 131 m²,1975,8 405 kr/år,,,"Fritidshus - Rimbo, Norrtälje kommun - Såld 10 september 2021",Stockholm,1 175 000 kr,fritidshus,"Rimbo, Norrtälje kommun", 10 september 2021,49.587489574911814
5652,1 700 000 kr,-50 000 kr (-3 %),Fritidshus,Äganderätt,2 rum,48 m²,,,2 071 m²,1800,20 173 kr/år,,,"Fritidshus - Rådmansö, Norrtälje kommun - Såld 10 september 2021",Stockholm,1 650 000 kr,fritidshus,"Rådmansö, Norrtälje kommun", 10 september 2021,67.41932481293655
5653,2 195 000 kr,-195 000 kr (-9 %),Fritidshus,Äganderätt,3 rum,81 m²,,,1 943 m²,1970,11 409 kr/år,,,"Fritidshus - Åkersberga, Österåkers kommun - Såld 09 september 2021",Stockholm,2 000 000 kr,fritidshus,"Åkersberga, Österåkers kommun", 09 september 2021,21.62636603924097
5654,1 795 000 kr,-145 000 kr (-8 %),Fritidshus,Äganderätt,,40 m²,15 m²,,427 m²,1968,18 311 kr/år,,,"Fritidshus - Lisö, Nynäshamns kommun - Såld 09 september 2021",Stockholm,1 650 000 kr,fritidshus,"Lisö, Nynäshamns kommun", 09 september 2021,44.729722812363974
5655,1 750 000 kr,-80 000 kr (-5 %),Fritidshus,Äganderätt,3 rum,29 m²,,,2 528 m²,1967,11 480 kr/år,,,"Fritidshus - Garns-Ekskogen, Vallentuna kommun - Såld 08 september 2021",Stockholm,1 670 000 kr,fritidshus,"Garns-Ekskogen, Vallentuna kommun", 08 september 2021,29.927418261907363
5656,4 250 000 kr,-200 000 kr (-5 %),Fritidshus,Äganderätt,3 rum,40 m²,,,2 145 m²,1940,,,,"Fritidshus - Sandviken, Norrtälje kommun - Såld 08 september 2021",Stockholm,4 050 000 kr,fritidshus,"Sandviken, Norrtälje kommun", 08 september 2021,56.34524294277967
5657,3 495 000 kr,-95 000 kr (-3 %),Fritidshus,Äganderätt,4 rum,60 m²,,,2 604 m²,1980,15 923 kr/år,,,"Fritidshus - Håtö, Norrtälje kommun - Såld 07 september 2021",Stockholm,3 400 000 kr,fritidshus,"Håtö, Norrtälje kommun", 07 september 2021,62.58073048787648
5658,950 000 kr,-25 000 kr (-3 %),Fritidshus,Äganderätt,2 rum,28 m²,,,457 m²,1967,11 915 kr/år,Ja,,"Fritidshus - Huddinge, Huddinge kommun - Såld 03 september 2021",Stockholm,925 000 kr,fritidshus,"Huddinge, Huddinge kommun", 03 september 2021,11.992775626272657
5659,1 595 000 kr,-95 000 kr (-6 %),Fritidshus,Äganderätt,3 rum,40 m²,,,2 554 m²,1978,18 800 kr/år,Ja,,"Fritidshus - Herräng, Norrtälje kommun - Såld 03 september 2021",Stockholm,1 500 000 kr,fritidshus,"Herräng, Norrtälje kommun", 03 september 2021,95.29333183923114
5660,3 075 000 kr,-375 000 kr (-12 %),Gård utan jordbruk,Äganderätt,2 rum,60 m²,8 m²,,3 ha,1932,,,,"Gård utan jordbruk - Herräng, Norrtälje kommun - Såld 02 september 2021",Stockholm,2 700 000 kr,fritidshus,"Herräng, Norrtälje kommun", 02 september 2021,95.29333183923114
5661,1 250 000 kr,-50 000 kr (-4 %),Fritidshus,Äganderätt,2 rum,40 m²,,,3 907 m²,1963,11 866 kr/år,,,"Fritidshus - Rimbo, Norrtälje kommun - Såld 01 september 2021",Stockholm,1 200 000 kr,fritidshus,"Rimbo, Norrtälje kommun", 01 september 2021,49.587489574911814
5662,4 295 000 kr,-195 000 kr (-5 %),Vinterbonat fritidshus,Äganderätt,3 rum,78 m²,61 m²,,2 490 m²,1992,30 873 kr/år,,,"Vinterbonat fritidshus - Ösbyhage, Norrtälje kommun - Såld 31 augusti 2021",Stockholm,4 100 000 kr,fritidshus,"Ösbyhage, Norrtälje kommun", 31 augusti 2021,60.70480763502802
5663,2 295 000 kr,-95 000 kr (-4 %),Fritidshus,Äganderätt,4 rum,74 m²,,,2 648 m²,1976,16 150 kr/år,,,"Fritidshus - Baltora, Norrtälje kommun - Såld 27 augusti 2021",Stockholm,2 200 000 kr,fritidshus,"Baltora, Norrtälje kommun", 27 augusti 2021,63.097561216494356
5664,2 295 000 kr,-400 000 kr (-17 %),Fritidshus,Äganderätt,3 rum,75 m²,,,1 297 m²,1978,42 298 kr/år,,,"Fritidshus - Enviken, Norrtälje kommun - Såld 26 augusti 2021",Stockholm,1 895 000 kr,fritidshus,"Enviken, Norrtälje kommun", 26 augusti 2021,45.90376140600314
5665,1 995 000 kr,-95 000 kr (-5 %),Fritidshus,Äganderätt,2 rum,26 m²,,,2 006 m²,1958,6 335 kr/år,,,"Fritidshus - Blekungen, Österåkers kommun - Såld 26 augusti 2021",Stockholm,1 900 000 kr,fritidshus,"Blekungen, Österåkers kommun", 26 augusti 2021,25.650426013655192
5666,2 500 000 kr,-50 000 kr (-2 %),Fritidshus,Äganderätt,3 rum,50 m²,,,2 020 m²,1969,,,,"Fritidshus - Djurö Överby, Värmdö kommun - Såld 26 augusti 2021",Stockholm,2 450 000 kr,fritidshus,"Djurö Överby, Värmdö kommun", 26 augusti 2021,33.10111496025043
5667,1 995 000 kr,-145 000 kr (-7 %),Fritidshus,Äganderätt,3 rum,55 m²,,,2 515 m²,1976,22 523 kr/år,,,"Fritidshus - Klockarängen, Norrtälje kommun - Såld 26 augusti 2021",Stockholm,1 850 000 kr,fritidshus,"Klockarängen, Norrtälje kommun", 26 augusti 2021,74.02376720428519
5668,550 000 kr,-50 000 kr (-9 %),Fritidshus,Annat,1 rum,20 m²,,,300 m²,,8 800 kr/år,,,"Fritidshus - Aspvik Koloniområde, Upplands-Bro kommun - Såld 25 augusti 2021",Stockholm,500 000 kr,fritidshus,"Aspvik Koloniområde, Upplands-Bro kommun", 25 augusti 2021,not found
5669,4 100 000 kr,-150 000 kr (-4 %),Vinterbonat fritidshus,Äganderätt,4 rum,54 m²,,,1 921 m²,1960,7 321 kr/år,Ja,,"Vinterbonat fritidshus - Skeppsdal, Österåkers kommun - Såld 24 augusti 2021",Stockholm,3 950 000 kr,fritidshus,"Skeppsdal, Österåkers kommun", 24 augusti 2021,28.532266334855024
5670,2 795 000 kr,-600 000 kr (-21 %),Fritidshus,Äganderätt,4 rum,61 m²,,,2 432 m²,1977,20 400 kr/år,,,"Fritidshus - Västanvik, Norrtälje kommun - Såld 23 augusti 2021",Stockholm,2 195 000 kr,fritidshus,"Västanvik, Norrtälje kommun", 23 augusti 2021,67.96370262330248
5671,2 495 000 kr,-245 000 kr (-10 %),Fritidshus,Äganderätt,5 rum,56 m²,25 m²,,2 725 m²,1966,7 200 kr/år,,,"Fritidshus - Rörvik, Norrtälje kommun - Såld 19 augusti 2021",Stockholm,2 250 000 kr,fritidshus,"Rörvik, Norrtälje kommun", 19 augusti 2021,80.24534816322027
5672,3 750 000 kr,-50 000 kr (-1 %),Vinterbonat fritidshus,Äganderätt,3 rum,60 m²,,,3 898 m²,1991,26 950 kr/år,,,"Vinterbonat fritidshus - Hölö, Värmdö kommun - Såld 19 augusti 2021",Stockholm,3 700 000 kr,fritidshus,"Hölö, Värmdö kommun", 19 augusti 2021,35.52184346319475
5673,3 095 000 kr,-245 000 kr (-8 %),Fritidshus,Äganderätt,2 rum,80 m²,,,2 288 m²,1959,38 054 kr/år,,,"Fritidshus - Grödinge, Botkyrka kommun - Såld 19 augusti 2021",Stockholm,2 850 000 kr,fritidshus,"Grödinge, Botkyrka kommun", 19 augusti 2021,25.809611146692088
5674,3 250 000 kr,-325 000 kr (-10 %),Vinterbonat fritidshus,Äganderätt,3 rum,77 m²,,,2 586 m²,1979,22 432 kr/år,Ja,,"Vinterbonat fritidshus - Gärdsnäs, Norrtälje kommun - Såld 18 augusti 2021",Stockholm,2 925 000 kr,fritidshus,"Gärdsnäs, Norrtälje kommun", 18 augusti 2021,50.348596623116926
5675,3 495 000 kr,-195 000 kr (-6 %),Fritidshus,Äganderätt,3 rum,72 m²,40 m²,,1 558 m²,1991,21 195 kr/år,Ja,,"Fritidshus - Utanå, Norrtälje kommun - Såld 17 augusti 2021",Stockholm,3 300 000 kr,fritidshus,"Utanå, Norrtälje kommun", 17 augusti 2021,82.24470614859534
5676,1 150 000 kr,-250 000 kr (-22 %),Fritidshus,Äganderätt,2 rum,34 m²,,,364 m²,1964,,,,"Fritidshus - Lissma, Huddinge kommun - Såld 17 augusti 2021",Stockholm,900 000 kr,fritidshus,"Lissma, Huddinge kommun", 17 augusti 2021,16.713569760717988
5677,12 500 000 kr,-2 500 000 kr (-20 %),Fritidshus,Äganderätt,,110 m²,49 m²,,2 532 m²,1924,24 424 kr/år,,,"Fritidshus - Kolvik, Värmdö kommun - Såld 17 augusti 2021",Stockholm,10 000 000 kr,fritidshus,"Kolvik, Värmdö kommun", 17 augusti 2021,23.749403340284918
5678,2 950 000 kr,-25 000 kr (-1 %),Fritidshus,Äganderätt,4 rum,113 m²,,,2 269 m²,1973,,,,"Fritidshus - Gryta, Norrtälje kommun - Såld 16 augusti 2021",Stockholm,2 925 000 kr,fritidshus,"Gryta, Norrtälje kommun", 16 augusti 2021,75.47976881965614
5679,475 000 kr,-55 000 kr (-12 %),Fritidshus,Annat,1 rum,30 m²,,,300 m²,2020,4 200 kr/år,Ja,,"Fritidshus - Torsjödal, Södertälje kommun - Såld 16 augusti 2021",Stockholm,420 000 kr,fritidshus,"Torsjödal, Södertälje kommun", 16 augusti 2021,31.87213859989922
5680,1 195 000 kr,-95 000 kr (-8 %),Fritidshus,Äganderätt,4 rum,50 m²,,,3 494 m²,1994,15 780 kr/år,,,"Fritidshus - Svartsättra, Norrtälje kommun - Såld 16 augusti 2021",Stockholm,1 100 000 kr,fritidshus,"Svartsättra, Norrtälje kommun", 16 augusti 2021,51.96520069826142
5681,1 595 000 kr,-95 000 kr (-6 %),Fritidshus,Äganderätt,3 rum,64 m²,,,4 400 m²,1975,21 336 kr/år,,,"Fritidshus - Hensvik, Norrtälje kommun - Såld 14 augusti 2021",Stockholm,1 500 000 kr,fritidshus,"Hensvik, Norrtälje kommun", 14 augusti 2021,60.70480763502802
