,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
5600,2 800 000 kr,-50 000 kr (-2 %),Fritidshus,Äganderätt,3 rum,46 m²,30 m²,,5 122 m²,1958,45 786 kr/år,Ja,,"Fritidshus - Huddinge - Ådran, Huddinge kommun - Såld 08 februari 2022",Stockholm,2 750 000 kr,fritidshus,"Ådran, Huddinge kommun", 08 februari 2022,18.6603311592835
5601,475 000 kr,-60 000 kr (-13 %),Fritidshus,Annat,1 rum,20 m²,,,350 m²,1979,,,,"Fritidshus - Måsnaren, Södertälje kommun - Såld 02 februari 2022",Stockholm,415 000 kr,fritidshus,"Måsnaren, Södertälje kommun", 02 februari 2022,33.24030619438503
5602,1 695 000 kr,-295 000 kr (-17 %),Fritidshus,Bostadsrätt,2 rum,27 m²,,,,1952,4 900 kr/år,Ja,,"Fritidshus - Adelsö Stenby, Ekerö kommun - Såld 01 februari 2022",Stockholm,1 400 000 kr,fritidshus,"Adelsö Stenby, Ekerö kommun", 01 februari 2022,31.355403594200844
5603,900 000 kr,-100 000 kr (-11 %),Vinterbonat fritidshus,Äganderätt,1 rum,27 m²,,,2 392 m²,1966,10 171 kr/år,Ja,,"Vinterbonat fritidshus - Edsbro, Norrtälje kommun - Såld 24 januari 2022",Stockholm,800 000 kr,fritidshus,"Edsbro, Norrtälje kommun", 24 januari 2022,67.80986197061648
5604,2 195 000 kr,-195 000 kr (-9 %),Fritidsboende,Äganderätt,1 rum,40 m²,,,2 766 m²,2015,,,,"Fritidsboende - Uppnäs, Norrtälje kommun - Såld 22 januari 2022",Stockholm,2 000 000 kr,fritidshus,"Uppnäs, Norrtälje kommun", 22 januari 2022,67.47217932202854
5605,2 795 000 kr,-245 000 kr (-9 %),Fritidshus,Äganderätt,3 rum,113 m²,,,2 145 m²,1984,30 100 kr/år,,,"Fritidshus - häverödal, Norrtälje kommun - Såld 20 januari 2022",Stockholm,2 550 000 kr,fritidshus,"häverödal, Norrtälje kommun", 20 januari 2022,83.86060534650221
5606,1 895 000 kr,-200 000 kr (-11 %),Vinterbonat fritidshus,Äganderätt,3 rum,58 m²,40 m²,,1 984 m²,1988,6 600 kr/år,Ja,,"Vinterbonat fritidshus - Roslagsbro, Norrtälje kommun - Såld 19 januari 2022",Stockholm,1 695 000 kr,fritidshus,"Roslagsbro, Norrtälje kommun", 19 januari 2022,67.47338987666856
5607,2 595 000 kr,-195 000 kr (-8 %),Fritidshus,Äganderätt,3 rum,77 m²,,,2 883 m²,1955,12 000 kr/år,,,"Fritidshus - Rådmansö - Lågarö, Norrtälje kommun - Såld 16 december 2021",Stockholm,2 400 000 kr,fritidshus,"Lågarö, Norrtälje kommun", 16 december 2021,68.07130921832866
5608,5 195 000 kr,-245 000 kr (-5 %),Vinterbonat fritidshus,Äganderätt,5 rum,"145,5 m²","22,5 m²",,1 983 m²,,41 716 kr/år,,,"Vinterbonat fritidshus - Södermarjum, Norrtälje kommun - Såld 15 december 2021",Stockholm,4 950 000 kr,fritidshus,"Södermarjum, Norrtälje kommun", 15 december 2021,70.32423459906863
5609,3 850 000 kr,-370 000 kr (-10 %),Vinterbonat fritidshus,Äganderätt,5 rum,136 m²,,,2 628 m²,1991,42 936 kr/år,,,"Vinterbonat fritidshus - Ortala, Norrtälje kommun - Såld 02 december 2021",Stockholm,3 480 000 kr,fritidshus,"Ortala, Norrtälje kommun", 02 december 2021,84.18687081973796
5610,4 495 000 kr,-145 000 kr (-3 %),Vinterbonat fritidshus,Äganderätt,5 rum,70 m²,,,2 467 m²,1967,26 287 kr/år,,,"Vinterbonat fritidshus - Vindö, Värmdö kommun - Såld 29 november 2021",Stockholm,4 350 000 kr,fritidshus,"Vindö, Värmdö kommun", 29 november 2021,35.814051815337876
5611,14 500 000 kr,-1 900 000 kr (-13 %),Vinterbonat fritidshus,Äganderätt,5 rum,156 m²,70 m²,,4 240 m²,1930,38 992 kr/år,,,"Vinterbonat fritidshus - Herrön sjötomt, Nynäshamns kommun - Såld 28 november 2021",Stockholm,12 600 000 kr,fritidshus,"Herrön sjötomt, Nynäshamns kommun", 28 november 2021,not found
5612,1 795 000 kr,-100 000 kr (-6 %),Fritidshus,Äganderätt,3 rum,45 m²,,,1 739 m²,1969,20 480 kr/år,,,"Fritidshus - Skogshill+Sjötorp, Norrtälje kommun - Såld 19 november 2021",Stockholm,1 695 000 kr,fritidshus,"Skogshill+Sjötorp, Norrtälje kommun", 19 november 2021,60.70480763502802
5613,5 995 000 kr,-495 000 kr (-8 %),Fritidshus,Äganderätt,5 rum,125 m²,14 m²,,6 103 m²,1909,19 772 kr/år,,,"Fritidshus - Torö, Nynäshamns kommun - Såld 16 november 2021",Stockholm,5 500 000 kr,fritidshus,"Torö, Nynäshamns kommun", 16 november 2021,57.29095954689067
5614,3 495 000 kr,-245 000 kr (-7 %),Vinterbonat fritidshus,Äganderätt,3 rum,47 m²,,,2 580 m²,1955,48 699 kr/år,,,"Vinterbonat fritidshus - Kvisslingby, Österåkers kommun - Såld 15 november 2021",Stockholm,3 250 000 kr,fritidshus,"Kvisslingby, Österåkers kommun", 15 november 2021,24.867011105467387
5615,1 495 000 kr,-200 000 kr (-13 %),Fritidshus,Äganderätt,3 rum,52 m²,15 m²,,1 768 m²,1963,16 694 kr/år,Ja,,"Fritidshus - Riala, Norrtälje kommun - Såld 08 november 2021",Stockholm,1 295 000 kr,fritidshus,"Riala, Norrtälje kommun", 08 november 2021,42.50178309725061
5616,2 850 000 kr,-150 000 kr (-5 %),Vinterbonat fritidshus,Äganderätt,3 rum,73 m²,85 m²,,2 951 m²,1968,25 223 kr/år,,,"Vinterbonat fritidshus - Ljusterö, Österåkers kommun - Såld 04 november 2021",Stockholm,2 700 000 kr,fritidshus,"Ljusterö, Österåkers kommun", 04 november 2021,38.26547660867005
5617,3 995 000 kr,-295 000 kr (-7 %),Fritidshus,Äganderätt,2 rum,43 m²,12 m²,,1 645 m²,1955,36 927 kr/år,,,"Fritidshus - Glömsta, Huddinge kommun - Såld 31 oktober 2021",Stockholm,3 700 000 kr,fritidshus,"Glömsta, Huddinge kommun", 31 oktober 2021,12.86173095350289
5618,4 695 000 kr,-495 000 kr (-11 %),Fritidshus,Äganderätt,4 rum,100 m²,,,2 233 m²,2007,17 889 kr/år,,,"Fritidshus - Dalarö, Haninge kommun - Såld 28 oktober 2021",Stockholm,4 200 000 kr,fritidshus,"Dalarö, Haninge kommun", 28 oktober 2021,28.626951332482008
5619,2 895 000 kr,-345 000 kr (-12 %),Fritidshus,Äganderätt,3 rum,49 m²,20 m²,,3 050 m²,1963,19 422 kr/år,Ja,,"Fritidshus - Västerhaninge, Haninge kommun - Såld 28 oktober 2021",Stockholm,2 550 000 kr,fritidshus,"Västerhaninge, Haninge kommun", 28 oktober 2021,22.71049933189332
5620,3 500 000 kr,-500 000 kr (-14 %),Fritidshus,Äganderätt,2 rum,36 m²,,,1 888 m²,1959,20 750 kr/år,,,"Fritidshus - Kungsdalen, Botkyrka kommun - Såld 25 oktober 2021",Stockholm,3 000 000 kr,fritidshus,"Kungsdalen, Botkyrka kommun", 25 oktober 2021,30.719969975745357
