,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
12000,4 950 000 kr,-270 000 kr (-5 %),Parhus,Äganderätt,5 rum,126 m²,,,194 m²,2012,40 409 kr/år,Ja,,"Parhus - Kvisslingby, Österåkers kommun - Såld 17 september 2022",Stockholm,4 680 000 kr,RadHus,"Kvisslingby, Österåkers kommun", 17 september 2022,24.867011105467387
12001,6 695 000 kr,-245 000 kr (-4 %),Parhus,Bostadsrätt,5 rum,133 m²,,Ja,,2017,,Ja,,"Parhus - Hässelby Villastad, Stockholms kommun - Såld 17 september 2022",Stockholm,6 450 000 kr,RadHus,"Hässelby Villastad, Stockholms kommun", 17 september 2022,16.028198594857745
12002,3 995 000 kr,-70 000 kr (-2 %),Kedjehus,Äganderätt,5 rum,138 m²,33 m²,,338 m²,1971,49 362 kr/år,,,"Kedjehus - Tungelsta, Haninge kommun - Såld 16 september 2022",Stockholm,3 925 000 kr,RadHus,"Tungelsta, Haninge kommun", 16 september 2022,24.620775669182358
12003,5 950 000 kr,-950 000 kr (-16 %),Radhus,Tomträtt,5 rum,61 m²,60 m²,,324 m²,1949,44 075 kr/år,Ja,,"Radhus - Älvsjö/Herrängen, Stockholms kommun - Såld 16 september 2022",Stockholm,5 000 000 kr,RadHus,"Älvsjö/Herrängen, Stockholms kommun", 16 september 2022,8.365410408635757
12004,4 695 000 kr,-180 000 kr (-4 %),Parhus,Bostadsrätt,5 rum,125 m²,,,,2016,23 000 kr/år,Ja,,"Parhus - Kungsängen - Norrboda, Upplands-Bro kommun - Såld 16 september 2022",Stockholm,4 515 000 kr,RadHus,"Norrboda, Upplands-Bro kommun", 16 september 2022,34.05807886821869
12005,4 350 000 kr,-400 000 kr (-9 %),Radhus,Äganderätt,5 rum,108 m²,,,265 m²,1975,55 492 kr/år,,,"Radhus - Tullinge Gård, Botkyrka kommun - Såld 16 september 2022",Stockholm,3 950 000 kr,RadHus,"Tullinge Gård, Botkyrka kommun", 16 september 2022,16.578895172744666
12006,5 595 000 kr,-185 000 kr (-3 %),Radhus,Äganderätt,5 rum,137 m²,,,158 m²,1969,36 724 kr/år,,,"Radhus - Norra Sköndal, Stockholms kommun - Såld 16 september 2022",Stockholm,5 410 000 kr,RadHus,"Norra Sköndal, Stockholms kommun", 16 september 2022,7.31418007608203
12007,7 995 000 kr,-695 000 kr (-9 %),Kedjehus,Äganderätt,5 rum,126 m²,,,493 m²,1977,49 600 kr/år,,,"Kedjehus - Skarpäng, Täby kommun - Såld 16 september 2022",Stockholm,7 300 000 kr,RadHus,"Skarpäng, Täby kommun", 16 september 2022,13.568880017822565
12008,3 195 000 kr,-195 000 kr (-6 %),Radhus,Äganderätt,4 rum,105 m²,,,221 m²,1974,35 400 kr/år,,,"Radhus - Österhaninge, Haninge kommun - Såld 16 september 2022",Stockholm,3 000 000 kr,RadHus,"Österhaninge, Haninge kommun", 16 september 2022,22.68293017182527
12009,5 750 000 kr,-1 425 000 kr (-25 %),Radhus,Äganderätt,6 rum,144 m²,,,306 m²,1972,,,,"Radhus - Täby Kyrkby, Täby kommun - Såld 16 september 2022",Stockholm,4 325 000 kr,RadHus,"Täby Kyrkby, Täby kommun", 16 september 2022,18.82468695474574
