,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
10400,6 400 000 kr,-500 000 kr (-8 %),Par-/kedje-/radhus,Äganderätt,7 rum,137 m²,65 m²,,228 m²,1981,52 655 kr/år,Ja,,"Par-/kedje-/radhus - Skarpäng, Täby kommun - Såld 03 oktober 2023",Stockholm,5 900 000 kr,RadHus,"Skarpäng, Täby kommun", 03 oktober 2023,13.568880017822565
10401,6 995 000 kr,-695 000 kr (-10 %),Parhus,Bostadsrätt,6 rum,140 m²,,,,2017,33 588 kr/år,Ja,,"Parhus - Källvägsområdet, Nacka kommun - Såld 03 oktober 2023",Stockholm,6 300 000 kr,RadHus,"Källvägsområdet, Nacka kommun", 03 oktober 2023,7.893776752994627
10402,3 995 000 kr,-45 000 kr (-1 %),Radhus,Äganderätt,5 rum,100 m²,50 m²,,166 m²,1964,66 192 kr/år,,,"Radhus - Åkerstorp, Österåkers kommun - Såld 03 oktober 2023",Stockholm,3 950 000 kr,RadHus,"Åkerstorp, Österåkers kommun", 03 oktober 2023,22.833912276923623
10403,3 450 000 kr,-400 000 kr (-12 %),Radhus,Äganderätt,4 rum,108 m²,,,156 m²,1990,32 000 kr/år,Ja,,"Radhus - Rindö, Vaxholms kommun - Såld 03 oktober 2023",Stockholm,3 050 000 kr,RadHus,"Rindö, Vaxholms kommun", 03 oktober 2023,20.70882673486553
10404,2 495 000 kr,-195 000 kr (-8 %),Radhus,Bostadsrätt,5 rum,104 m²,25 m²,,,1986,33 389 kr/år,,,"Radhus - Vårsta, Botkyrka kommun - Såld 02 oktober 2023",Stockholm,2 300 000 kr,RadHus,"Vårsta, Botkyrka kommun", 02 oktober 2023,23.736349574527445
10405,3 500 000 kr,-350 000 kr (-10 %),Radhus,Äganderätt,5 rum,122 m²,,,189 m²,1973,47 177 kr/år,,,"Radhus - Rönninge, Salems kommun - Såld 02 oktober 2023",Stockholm,3 150 000 kr,RadHus,"Rönninge, Salems kommun", 02 oktober 2023,23.496180781065156
10406,3 195 000 kr,-95 000 kr (-3 %),Radhus,Äganderätt,3 rum,85 m²,,,104 m²,1983,33 624 kr/år,,,"Radhus - Skogås - Drevviksstrand, Huddinge kommun - Såld 02 oktober 2023",Stockholm,3 100 000 kr,RadHus,"Drevviksstrand, Huddinge kommun", 02 oktober 2023,13.519394160876047
10407,5 995 000 kr,-295 000 kr (-5 %),Parhus,Bostadsrätt,6 rum,148 m²,,,,2018,,Ja,,"Parhus - Kolvik, Värmdö kommun - Såld 02 oktober 2023",Stockholm,5 700 000 kr,RadHus,"Kolvik, Värmdö kommun", 02 oktober 2023,23.749403340284918
10408,5 975 000 kr,-275 000 kr (-5 %),Radhus,Äganderätt,5 rum,121 m²,3 m²,,182 m²,1966,40 099 kr/år,,,"Radhus - Danderyd Enebyberg, Danderyds kommun - Såld 02 oktober 2023",Stockholm,5 700 000 kr,RadHus,"Danderyd Enebyberg, Danderyds kommun", 02 oktober 2023,10.680308274342007
10409,4 250 000 kr,-600 000 kr (-14 %),Radhus,Äganderätt,5 rum,122 m²,,,189 m²,1973,40 599 kr/år,,,"Radhus - Rönninge, Salems kommun - Såld 02 oktober 2023",Stockholm,3 650 000 kr,RadHus,"Rönninge, Salems kommun", 02 oktober 2023,23.496180781065156
