,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
9600,1 900 000 kr,+600 000 kr (+32 %),Vinterbonat fritidshus,Äganderätt,3 rum,78 m²,,,2 075 m²,1973,31 430 kr/år,Ja,,"Vinterbonat fritidshus - Kaggeboda Norra, Norrtälje kommun - Såld 08 april 2020",Stockholm,2 500 000 kr,fritidshus,"Kaggeboda Norra, Norrtälje kommun", 08 april 2020,62.4821893231826
9601,1 395 000 kr,+105 000 kr (+8 %),Fritidshus,Äganderätt,5 rum,71 m²,,,1 764 m²,1978,21 098 kr/år,,,"Fritidshus - Smara, Norrtälje kommun - Såld 08 april 2020",Stockholm,1 500 000 kr,fritidshus,"Smara, Norrtälje kommun", 08 april 2020,64.44096555764919
9602,3 295 000 kr,+855 000 kr (+26 %),Vinterbonat fritidshus,Äganderätt,5 rum,50 m²,50 m²,,330 m²,1973,24 400 kr/år,Ja,,"Vinterbonat fritidshus - Fiskebyn, Norrtälje kommun - Såld 08 april 2020",Stockholm,4 150 000 kr,fritidshus,"Fiskebyn, Norrtälje kommun", 08 april 2020,77.68292055981988
9603,1 800 000 kr,+600 000 kr (+33 %),Fritidshus,Äganderätt,4 rum,64 m²,,,2 525 m²,1963,15 161 kr/år,Ja,,"Fritidshus - Rangarnö, Norrtälje kommun - Såld 07 april 2020",Stockholm,2 400 000 kr,fritidshus,"Rangarnö, Norrtälje kommun", 07 april 2020,82.15897883123108
9604,1 795 000 kr,+76 500 kr (+4 %),Fritidshus,Äganderätt,4 rum,77 m²,,,3 081 m²,1976,15 735 kr/år,,,"Fritidshus - Björnösund, Norrtälje kommun - Såld 07 april 2020",Stockholm,1 871 500 kr,fritidshus,"Björnösund, Norrtälje kommun", 07 april 2020,66.5789543668906
9605,3 095 000 kr,+105 000 kr (+3 %),Vinterbonat fritidshus,Äganderätt,4 rum,60 m²,,,2 023 m²,1966,20 750 kr/år,,,"Vinterbonat fritidshus - Kopparmora, Värmdö kommun - Såld 03 april 2020",Stockholm,3 200 000 kr,fritidshus,"Kopparmora, Värmdö kommun", 03 april 2020,28.140200511101806
9606,1 995 000 kr,+430 000 kr (+22 %),Fritidshus,Äganderätt,5 rum,,126 m²,,2 370 m²,1969,27 500 kr/år,Ja,,"Fritidshus - Ingaröstrand, Värmdö kommun - Såld 03 april 2020",Stockholm,2 425 000 kr,fritidshus,"Ingaröstrand, Värmdö kommun", 03 april 2020,24.75147638327988
9607,1 650 000 kr,+100 000 kr (+6 %),Vinterbonat fritidshus,Äganderätt,3 rum,47 m²,15 m²,,2 400 m²,1946,13 200 kr/år,Ja,,"Vinterbonat fritidshus - Djurö | Vindö, Värmdö kommun - Såld 02 april 2020",Stockholm,1 750 000 kr,fritidshus,"Djurö | Vindö, Värmdö kommun", 02 april 2020,35.814051815337876
9608,1 495 000 kr,+440 000 kr (+29 %),Vinterbonat fritidshus,Äganderätt,5 rum,120 m²,9 m²,,2 352 m²,1973,28 675 kr/år,Ja,,"Vinterbonat fritidshus - Utveda, Norrtälje kommun - Såld 02 april 2020",Stockholm,1 935 000 kr,fritidshus,"Utveda, Norrtälje kommun", 02 april 2020,71.68095674879042
9609,5 900 000 kr,+300 000 kr (+5 %),Vinterbonat fritidshus,Äganderätt,4 rum,110 m²,22 m²,,4 237 m²,1900,38 406 kr/år,,,"Vinterbonat fritidshus - Ortala, Norrtälje kommun - Såld 02 april 2020",Stockholm,6 200 000 kr,fritidshus,"Ortala, Norrtälje kommun", 02 april 2020,84.18687081973796
9610,2 295 000 kr,+220 000 kr (+10 %),Vinterbonat fritidshus,Äganderätt,4 rum,68 m²,,,1 516 m²,1978,21 300 kr/år,Ja,,"Vinterbonat fritidshus - Bergshamra - Enviken, Norrtälje kommun - Såld 01 april 2020",Stockholm,2 515 000 kr,fritidshus,"Enviken, Norrtälje kommun", 01 april 2020,45.90376140600314
9611,1 250 000 kr,+25 000 kr (+2 %),Vinterbonat fritidshus,Äganderätt,3 rum,50 m²,,,2 573 m²,1971,19 730 kr/år,,,"Vinterbonat fritidshus - Vämlinge, Norrtälje kommun - Såld 01 april 2020",Stockholm,1 275 000 kr,fritidshus,"Vämlinge, Norrtälje kommun", 01 april 2020,62.79464867824713
9612,2 290 000 kr,+510 000 kr (+22 %),Fritidshus,Äganderätt,4 rum,53 m²,8 m²,,1 580 m²,1940,16 105 kr/år,,,"Fritidshus - Kanan, Ekerö kommun - Såld 01 april 2020",Stockholm,2 800 000 kr,fritidshus,"Kanan, Ekerö kommun", 01 april 2020,20.92277080008528
9613,2 000 000 kr,+420 000 kr (+21 %),Vinterbonat fritidshus,Äganderätt,3 rum,67 m²,,,2 216 m²,1983,22 472 kr/år,Ja,,"Vinterbonat fritidshus - Fjällboholmar, Norrtälje kommun - Såld 01 april 2020",Stockholm,2 420 000 kr,fritidshus,"Fjällboholmar, Norrtälje kommun", 01 april 2020,92.53253480199116
9614,890 000 kr,+310 000 kr (+35 %),Fritidshus,Äganderätt,3 rum,52 m²,,,2 687 m²,1970,13 600 kr/år,Ja,,"Fritidshus - Skebo, Norrtälje kommun - Såld 31 mars 2020",Stockholm,1 200 000 kr,fritidshus,"Skebo, Norrtälje kommun", 31 mars 2020,77.70628603291453
9615,1 495 000 kr,+80 000 kr (+5 %),Vinterbonat fritidshus,Äganderätt,3 rum,50 m²,15 m²,,1 828 m²,1976,18 838 kr/år,Ja,,"Vinterbonat fritidshus - Sättra, Norrtälje kommun - Såld 31 mars 2020",Stockholm,1 575 000 kr,fritidshus,"Sättra, Norrtälje kommun", 31 mars 2020,39.003180725569635
