,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
16800,4 500 000 kr,-250 000 kr (-6 %),Villa,Äganderätt,5 rum,110 m²,18 m²,,1 486 m²,1937,52 000 kr/år,,,"Villa - Glömsta, Huddinge kommun - Såld 17 mars 2023",Stockholm,4 250 000 kr,villa,"Glömsta, Huddinge kommun", 17 mars 2023,12.86173095350289
16801,1 450 000 kr,-100 000 kr (-7 %),Vinterbonat fritidshus,Äganderätt,4 rum,56 m²,,,2 221 m²,1984,14 416 kr/år,,,"Vinterbonat fritidshus - Edsbro, Norrtälje kommun - Såld 17 mars 2023",Stockholm,1 350 000 kr,villa,"Edsbro, Norrtälje kommun", 17 mars 2023,67.80986197061648
16802,6 495 000 kr,-345 000 kr (-5 %),Villa,Äganderätt,7 rum,162 m²,127 m²,,775 m²,1972,57 061 kr/år,,,"Villa - Brunnby Vik, Upplands Väsby kommun - Såld 16 mars 2023",Stockholm,6 150 000 kr,villa,"Brunnby Vik, Upplands Väsby kommun", 16 mars 2023,23.878886967435633
16803,3 995 000 kr,-145 000 kr (-4 %),Villa,Äganderätt,6 rum,122 m²,30 m²,,256 m²,1974,42 350 kr/år,Ja,,"Villa - Västerhaninge, Haninge kommun - Såld 16 mars 2023",Stockholm,3 850 000 kr,villa,"Västerhaninge, Haninge kommun", 16 mars 2023,22.71049933189332
16804,9 250 000 kr,-650 000 kr (-7 %),Villa,Äganderätt,6 rum,141 m²,96 m²,,765 m²,1973,53 807 kr/år,Ja,,"Villa - Viggbyholm, Täby kommun - Såld 16 mars 2023",Stockholm,8 600 000 kr,villa,"Viggbyholm, Täby kommun", 16 mars 2023,13.209627073748813
16805,3 995 000 kr,-385 000 kr (-10 %),Villa,Äganderätt,6 rum,120 m²,75 m²,,1 258 m²,1960,65 100 kr/år,,,"Villa - Södertälje - Östertälje, Södertälje kommun - Såld 16 mars 2023",Stockholm,3 610 000 kr,villa,"Östertälje, Södertälje kommun", 16 mars 2023,28.239827449778776
16806,5 995 000 kr,-395 000 kr (-7 %),Villa,Äganderätt,6 rum,128 m²,39 m²,,2 158 m²,1953,67 000 kr/år,,,"Villa - Älgö, Nacka kommun - Såld 16 mars 2023",Stockholm,5 600 000 kr,villa,"Älgö, Nacka kommun", 16 mars 2023,16.813885974149372
16807,11 500 000 kr,-400 000 kr (-3 %),Villa,Äganderätt,7 rum,292 m²,54 m²,,1 320 m²,1978,58 700 kr/år,,,"Villa - Östra Vallabrink, Täby kommun - Såld 16 mars 2023",Stockholm,11 100 000 kr,villa,"Östra Vallabrink, Täby kommun", 16 mars 2023,14.862273932662783
16808,3 795 000 kr,-595 000 kr (-16 %),Villa,Äganderätt,4 rum,90 m²,85 m²,,1 046 m²,1963,30 074 kr/år,,,"Villa - Karby/Brottby, Vallentuna kommun - Såld 16 mars 2023",Stockholm,3 200 000 kr,villa,"Karby/Brottby, Vallentuna kommun", 16 mars 2023,27.789185491105417
16809,9 475 000 kr,-200 000 kr (-2 %),Villa,Äganderätt,6 rum,160 m²,44 m²,,975 m²,1973,40 479 kr/år,,,"Villa - Älvsjö - Långbro, Stockholms kommun - Såld 16 mars 2023",Stockholm,9 275 000 kr,villa,"Långbro, Stockholms kommun", 16 mars 2023,6.934557438163779
16810,6 800 000 kr,-225 000 kr (-3 %),Villa,Äganderätt,5 rum,158 m²,,,680 m²,1979,49 251 kr/år,,,"Villa - Täby Kyrkby, Täby kommun - Såld 16 mars 2023",Stockholm,6 575 000 kr,villa,"Täby Kyrkby, Täby kommun", 16 mars 2023,18.82468695474574
