,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
8800,1 495 000 kr,+255 000 kr (+17 %),Fritidshus,Äganderätt,1 rum,36 m²,,,1 953 m²,1972,6 537 kr/år,Ja,,"Fritidshus - Åkersberga, Österåkers kommun - Såld 14 april 2021",Stockholm,1 750 000 kr,fritidshus,"Åkersberga, Österåkers kommun", 14 april 2021,21.62636603924097
8801,2 995 000 kr,+1 215 000 kr (+41 %),Vinterbonat fritidshus,Äganderätt,4 rum,65 m²,,,2 880 m²,1900,12 000 kr/år,Ja,,"Vinterbonat fritidshus - Lindholmen, Vallentuna kommun - Såld 14 april 2021",Stockholm,4 210 000 kr,fritidshus,"Lindholmen, Vallentuna kommun", 14 april 2021,28.951314698086478
8802,5 300 000 kr,+400 000 kr (+8 %),Fritidshus,Äganderätt,,45 m²,,,1 728 m²,1977,,,,"Fritidshus - Kil, Nacka kommun - Såld 14 april 2021",Stockholm,5 700 000 kr,fritidshus,"Kil, Nacka kommun", 14 april 2021,14.40318559092299
8803,7 750 000 kr,+1 450 000 kr (+19 %),Fritidshus,Äganderätt,3 rum,60 m²,,,4 440 m²,1936,5 866 kr/år,,,"Fritidshus - Herrviksnäs, Värmdö kommun - Såld 14 april 2021",Stockholm,9 200 000 kr,fritidshus,"Herrviksnäs, Värmdö kommun", 14 april 2021,24.474510279916924
8804,3 295 000 kr,+355 000 kr (+11 %),Vinterbonat fritidshus,Äganderätt,3 rum,82 m²,,,2 231 m²,1968,22 202 kr/år,,,"Vinterbonat fritidshus - Grisslehamn, Norrtälje kommun - Såld 14 april 2021",Stockholm,3 650 000 kr,fritidshus,"Grisslehamn, Norrtälje kommun", 14 april 2021,95.53779032931175
8805,2 200 000 kr,+375 000 kr (+17 %),Vinterbonat fritidshus,Äganderätt,4 rum,70 m²,,,2 093 m²,1980,17 271 kr/år,,,"Vinterbonat fritidshus - Gryta, Norrtälje kommun - Såld 14 april 2021",Stockholm,2 575 000 kr,fritidshus,"Gryta, Norrtälje kommun", 14 april 2021,75.47976881965614
8806,2 495 000 kr,+525 000 kr (+21 %),Fritidshus,Äganderätt,2 rum,45 m²,,,1 884 m²,1972,22 700 kr/år,,,"Fritidshus - Tungelsta, Haninge kommun - Såld 14 april 2021",Stockholm,3 020 000 kr,fritidshus,"Tungelsta, Haninge kommun", 14 april 2021,24.620775669182358
8807,2 350 000 kr,+925 000 kr (+39 %),Fritidshus,Annat,2 rum,46 m²,,,2 500 m²,1964,15 880 kr/år,,,"Fritidshus - Ornö sjötomt, Haninge kommun - Såld 14 april 2021",Stockholm,3 275 000 kr,fritidshus,"Ornö sjötomt, Haninge kommun", 14 april 2021,not found
8808,1 300 000 kr,+175 000 kr (+13 %),Fritidshus,Äganderätt,3 rum,47 m²,40 m²,,2 302 m²,1974,22 151 kr/år,,,"Fritidshus - Vätö, Norrtälje kommun - Såld 13 april 2021",Stockholm,1 475 000 kr,fritidshus,"Vätö, Norrtälje kommun", 13 april 2021,74.44904544543692
8809,1 795 000 kr,+2 235 000 kr (+125 %),Fritidshus,Äganderätt,3 rum,57 m²,,,2 348 m²,1977,14 835 kr/år,,,"Fritidshus - Högmarsö, Norrtälje kommun - Såld 12 april 2021",Stockholm,4 030 000 kr,fritidshus,"Högmarsö, Norrtälje kommun", 12 april 2021,56.87528570758145
8810,995 000 kr,+805 000 kr (+81 %),Fritidshus,Äganderätt,3 rum,63 m²,,,2 881 m²,1965,32 720 kr/år,,,"Fritidshus - Grovstanäs, Norrtälje kommun - Såld 12 april 2021",Stockholm,1 800 000 kr,fritidshus,"Grovstanäs, Norrtälje kommun", 12 april 2021,54.340283426590936
8811,1 395 000 kr,+175 000 kr (+13 %),Fritidshus,Äganderätt,5 rum,105 m²,,,2 036 m²,1971,24 950 kr/år,,,"Fritidshus - Herräng, Norrtälje kommun - Såld 11 april 2021",Stockholm,1 570 000 kr,fritidshus,"Herräng, Norrtälje kommun", 11 april 2021,95.29333183923114
8812,550 000 kr,+200 000 kr (+36 %),Fritidshus,Äganderätt,1 rum,14 m²,,,1 984 m²,1968,6 521 kr/år,,,"Fritidshus - Sättraby, Norrtälje kommun - Såld 11 april 2021",Stockholm,750 000 kr,fritidshus,"Sättraby, Norrtälje kommun", 11 april 2021,61.23755751520061
8813,2 595 000 kr,+655 000 kr (+25 %),Fritidshus,Äganderätt,3 rum,70 m²,5 m²,,3 305 m²,1967,,Ja,,"Fritidshus - Sandvik+Hästnäs, Nynäshamns kommun - Såld 10 april 2021",Stockholm,3 250 000 kr,fritidshus,"Sandvik+Hästnäs, Nynäshamns kommun", 10 april 2021,48.98831255910176
8814,2 295 000 kr,+455 000 kr (+20 %),Fritidshus,Äganderätt,4 rum,69 m²,,,2 165 m²,1965,17 800 kr/år,Ja,,"Fritidshus - Vätö-Marsbacken, Norrtälje kommun - Såld 10 april 2021",Stockholm,2 750 000 kr,fritidshus,"Vätö-Marsbacken, Norrtälje kommun", 10 april 2021,60.70480763502802
8815,7 495 000 kr,+1 255 000 kr (+17 %),Vinterbonat fritidshus,Äganderätt,3 rum,48 m²,,,2 835 m²,1980,,,,"Vinterbonat fritidshus - Brevik, Tyresö kommun - Såld 10 april 2021",Stockholm,8 750 000 kr,fritidshus,"Brevik, Tyresö kommun", 10 april 2021,21.82922168882202
8816,1 295 000 kr,+80 000 kr (+6 %),Fritidshus,Bostadsrätt,2 rum,24 m²,,,,1952,4 500 kr/år,Ja,,"Fritidshus - Adelsö Stenby, Ekerö kommun - Såld 09 april 2021",Stockholm,1 375 000 kr,fritidshus,"Adelsö Stenby, Ekerö kommun", 09 april 2021,31.355403594200844
8817,585 000 kr,+60 000 kr (+10 %),Fritidshus,Annat,1 rum,25 m²,,,433 m²,2002,5 150 kr/år,,,"Fritidshus - Pershagen, Södertälje kommun - Såld 09 april 2021",Stockholm,645 000 kr,fritidshus,"Pershagen, Södertälje kommun", 09 april 2021,30.47795962494194
8818,995 000 kr,+485 000 kr (+49 %),Vinterbonat fritidshus,Annat,2 rum,40 m²,,,200 m²,1965,,,,"Vinterbonat fritidshus - Gålö, Haninge kommun - Såld 09 april 2021",Stockholm,1 480 000 kr,fritidshus,"Gålö, Haninge kommun", 09 april 2021,27.64417721984156
8819,595 000 kr,+340 000 kr (+57 %),Fritidshus,Annat,3 rum,"65,5 m²",,,1 000 m²,1960,15 336 kr/år,Ja,,"Fritidshus - Enhörna, Södertälje kommun - Såld 09 april 2021",Stockholm,935 000 kr,fritidshus,"Enhörna, Södertälje kommun", 09 april 2021,31.371286121622457
8820,3 495 000 kr,+605 000 kr (+17 %),Vinterbonat fritidshus,Äganderätt,3 rum,64 m²,,,2 963 m²,1966,42 220 kr/år,,,"Vinterbonat fritidshus - Löknäs, Värmdö kommun - Såld 09 april 2021",Stockholm,4 100 000 kr,fritidshus,"Löknäs, Värmdö kommun", 09 april 2021,33.9881631324293
8821,1 900 000 kr,+800 000 kr (+42 %),Vinterbonat fritidshus,Äganderätt,3 rum,55 m²,"14,5 m²",,3 075 m²,1967,18 867 kr/år,,,"Vinterbonat fritidshus - Nothamn, Norrtälje kommun - Såld 09 april 2021",Stockholm,2 700 000 kr,fritidshus,"Nothamn, Norrtälje kommun", 09 april 2021,89.92919250525185
8822,950 000 kr,+200 000 kr (+21 %),Fritidshus,Äganderätt,3 rum,37 m²,12 m²,,2 211 m²,1967,14 500 kr/år,,,"Fritidshus - Issjö, Norrtälje kommun - Såld 09 april 2021",Stockholm,1 150 000 kr,fritidshus,"Issjö, Norrtälje kommun", 09 april 2021,49.234325642409004
8823,16 900 000 kr,+4 500 000 kr (+27 %),Fritidshus,Äganderätt,9 rum,123 m²,58 m²,,"33,2 ha",1970,8 479 kr/år,,,"Fritidshus - Torö, Nynäshamns kommun - Såld 09 april 2021",Stockholm,21 400 000 kr,fritidshus,"Torö, Nynäshamns kommun", 09 april 2021,57.29095954689067
8824,1 295 000 kr,+655 000 kr (+51 %),Fritidshus,Äganderätt,2 rum,37 m²,,,2 365 m²,1972,15 283 kr/år,,,"Fritidshus - Riala, Norrtälje kommun - Såld 08 april 2021",Stockholm,1 950 000 kr,fritidshus,"Riala, Norrtälje kommun", 08 april 2021,42.50178309725061
8825,950 000 kr,+300 000 kr (+32 %),Fritidshus,Annat,1 rum,20 m²,,,200 m²,1986,2 700 kr/år,,,"Fritidshus - ULLNA KOLONIOMRÅDE, Täby kommun - Såld 08 april 2021",Stockholm,1 250 000 kr,fritidshus,"ULLNA KOLONIOMRÅDE, Täby kommun", 08 april 2021,not found
8826,2 750 000 kr,+275 000 kr (+10 %),Fritidshus,Äganderätt,4 rum,72 m²,,,2 565 m²,1972,19 890 kr/år,,,"Fritidshus - Skottviken, Norrtälje kommun - Såld 08 april 2021",Stockholm,3 025 000 kr,fritidshus,"Skottviken, Norrtälje kommun", 08 april 2021,89.89718198449854
8827,1 885 000 kr,+540 000 kr (+29 %),Vinterbonat fritidshus,Äganderätt,3 rum,65 m²,,,2 065 m²,1909,19 453 kr/år,,,"Vinterbonat fritidshus - Roslags-Bro, Norrtälje kommun - Såld 08 april 2021",Stockholm,2 425 000 kr,fritidshus,"Roslags-Bro, Norrtälje kommun", 08 april 2021,67.66292028571115
8828,2 995 000 kr,+975 000 kr (+33 %),Fritidshus,Äganderätt,3 rum,76 m²,20 m²,,1 915 m²,1979,8 700 kr/år,,,"Fritidshus - Byholma, Norrtälje kommun - Såld 08 april 2021",Stockholm,3 970 000 kr,fritidshus,"Byholma, Norrtälje kommun", 08 april 2021,96.8625471922964
8829,2 200 000 kr,+1 400 000 kr (+64 %),Fritidshus,Äganderätt,6 rum,80 m²,,,2 461 m²,1905,2 672 kr/år,,,"Fritidshus - Räfsnäs, Norrtälje kommun - Såld 08 april 2021",Stockholm,3 600 000 kr,fritidshus,"Räfsnäs, Norrtälje kommun", 08 april 2021,74.31175420663196
8830,3 200 000 kr,+1 000 000 kr (+31 %),Vinterbonat fritidshus,Äganderätt,4 rum,112 m²,,,2 530 m²,1978,32 200 kr/år,,,"Vinterbonat fritidshus - Penningby, Norrtälje kommun - Såld 08 april 2021",Stockholm,4 200 000 kr,fritidshus,"Penningby, Norrtälje kommun", 08 april 2021,52.43891549796786
8831,2 995 000 kr,+55 000 kr (+2 %),Fritidshus,Äganderätt,,,,,2 958 m²,,,,,"Fritidshus - Värmdö Evlinge, Värmdö kommun - Såld 08 april 2021",Stockholm,3 050 000 kr,fritidshus,"Värmdö Evlinge, Värmdö kommun", 08 april 2021,25.551383808374727
8832,2 995 000 kr,+205 000 kr (+7 %),Fritidshus,Äganderätt,4 rum,114 m²,68 m²,,3 052 m²,1969,19 100 kr/år,Ja,,"Fritidshus - Ljusterö, Österåkers kommun - Såld 08 april 2021",Stockholm,3 200 000 kr,fritidshus,"Ljusterö, Österåkers kommun", 08 april 2021,38.26547660867005
