,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
2400,2 995 000 kr,-245 000 kr (-8 %),Lägenhet,Bostadsrätt,2 rum,44 m²,,Nej,,2017,6 840 kr/år,,"6 av 8, hiss finns","Lägenhet - Nacka Strand, Nacka kommun - Såld 29 september 2023",Stockholm,2 750 000 kr,bostadsratt,"Nacka Strand, Nacka kommun", 29 september 2023,5.054079954830007
2401,2 895 000 kr,-120 000 kr (-4 %),Lägenhet,Bostadsrätt,2 rum,"64,2 m²",,Ja,,1983,,,"1 av 7, hiss finns","Lägenhet - Huvudsta, Solna kommun - Såld 29 september 2023",Stockholm,2 775 000 kr,bostadsratt,"Huvudsta, Solna kommun", 29 september 2023,5.508183182864403
2402,6 795 000 kr,-495 000 kr (-7 %),Lägenhet,Bostadsrätt,3 rum,85 m²,,Ja,,2003,9 000 kr/år,,"2 av 4, hiss finns","Lägenhet - Hammarby Sjöstad, Stockholms kommun - Såld 29 september 2023",Stockholm,6 300 000 kr,bostadsratt,"Hammarby Sjöstad, Stockholms kommun", 29 september 2023,2.9473305081274574
2403,1 695 000 kr,-25 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,61 m²,,Ja,,1967,3 600 kr/år,,"5 av 5, hiss finns","Lägenhet - Visättra, Huddinge kommun - Såld 29 september 2023",Stockholm,1 670 000 kr,bostadsratt,"Visättra, Huddinge kommun", 29 september 2023,13.99000210754495
2404,4 950 000 kr,-125 000 kr (-3 %),Lägenhet,Bostadsrätt,3 rum,77 m²,,Ja,,2002,,,"3 av 6, hiss finns","Lägenhet - Hammarby Sjöstad, Stockholms kommun - Såld 29 september 2023",Stockholm,4 825 000 kr,bostadsratt,"Hammarby Sjöstad, Stockholms kommun", 29 september 2023,2.9473305081274574
2405,1 795 000 kr,-120 000 kr (-7 %),Lägenhet,Bostadsrätt,2 rum,"60,9 m²",,Ja,,1991,6 000 kr/år,,"2 av 2, hiss finns ej","Lägenhet - Södra Haga, Vallentuna kommun - Såld 29 september 2023",Stockholm,1 675 000 kr,bostadsratt,"Södra Haga, Vallentuna kommun", 29 september 2023,30.754502903493165
2406,1 595 000 kr,-195 000 kr (-12 %),Lägenhet,Bostadsrätt,2 rum,"58,5 m²",,Ja,,1971-1974,,,"4 av 7, hiss finns","Lägenhet - Norra Botkyrka, Botkyrka kommun - Såld 29 september 2023",Stockholm,1 400 000 kr,bostadsratt,"Norra Botkyrka, Botkyrka kommun", 29 september 2023,18.08401793827631
2407,6 950 000 kr,-950 000 kr (-14 %),Lägenhet,Bostadsrätt,4 rum,89 m²,,Ja,,,6 960 kr/år,,"3 av 3, hiss finns ej","Lägenhet - Bromma - Abrahamsberg, Stockholms kommun - Såld 29 september 2023",Stockholm,6 000 000 kr,bostadsratt,"Abrahamsberg, Stockholms kommun", 29 september 2023,6.79743939604292
2408,18 000 000 kr,-1 750 000 kr (-10 %),Lägenhet,Bostadsrätt,5 rum,182 m²,,Ja,,2000,24 000 kr/år,,"5 av 5, hiss finns","Lägenhet - Gåshaga Pirar, Lidingö kommun - Såld 29 september 2023",Stockholm,16 250 000 kr,bostadsratt,"Gåshaga Pirar, Lidingö kommun", 29 september 2023,not found
2409,1 495 000 kr,-245 000 kr (-16 %),Lägenhet,Bostadsrätt,2 rum,64 m²,,Ja,,1962,7 020 kr/år,,"1 av 3, hiss finns ej","Lägenhet - Tungelsta, Haninge kommun - Såld 29 september 2023",Stockholm,1 250 000 kr,bostadsratt,"Tungelsta, Haninge kommun", 29 september 2023,24.620775669182358
2410,1 880 000 kr,-330 000 kr (-18 %),Lägenhet,Bostadsrätt,5 rum,124 m²,,Ja,,1973,3 724 kr/år,Ja,,"Lägenhet - Hovsjö, Södertälje kommun - Såld 29 september 2023",Stockholm,1 550 000 kr,bostadsratt,"Hovsjö, Södertälje kommun", 29 september 2023,31.605585451873754
2411,3 495 000 kr,-70 000 kr (-2 %),Lägenhet,Bostadsrätt,4 rum,98 m²,,Ja,,2010,4 398 kr/år,,"2 av 3, hiss finns","Lägenhet - Åkersberga Centralt, Österåkers kommun - Såld 29 september 2023",Stockholm,3 425 000 kr,bostadsratt,"Åkersberga Centralt, Österåkers kommun", 29 september 2023,not found
2412,3 895 000 kr,-95 000 kr (-2 %),Lägenhet,Bostadsrätt,4 rum,74 m²,,Ja,,1966,5 784 kr/år,,"4 av 6, hiss finns","Lägenhet - Larsberg, Lidingö kommun - Såld 29 september 2023",Stockholm,3 800 000 kr,bostadsratt,"Larsberg, Lidingö kommun", 29 september 2023,4.98987906571425
2413,2 995 000 kr,-245 000 kr (-8 %),Lägenhet,Bostadsrätt,2 rum,58 m²,,,,1964,11 832 kr/år,,"1 av 7, hiss finns","Lägenhet - Mörbyskogen, Danderyds kommun - Såld 29 september 2023",Stockholm,2 750 000 kr,bostadsratt,"Mörbyskogen, Danderyds kommun", 29 september 2023,8.149511696647439
2414,2 595 000 kr,-195 000 kr (-8 %),Lägenhet,Bostadsrätt,4 rum,78 m²,,Ja,,1960,9 200 kr/år,,"3 av 3, hiss finns ej","Lägenhet - Centrala Huddinge, Huddinge kommun - Såld 29 september 2023",Stockholm,2 400 000 kr,bostadsratt,"Centrala Huddinge, Huddinge kommun", 29 september 2023,11.992775626272657
2415,1 875 000 kr,-25 000 kr (-1 %),Lägenhet,Bostadsrätt,3 rum,88 m²,,Ja,,1967,5 700 kr/år,,,"Lägenhet - Skogås, Huddinge kommun - Såld 29 september 2023",Stockholm,1 850 000 kr,bostadsratt,"Skogås, Huddinge kommun", 29 september 2023,12.71061279826193
2416,1 395 000 kr,-230 000 kr (-16 %),Lägenhet,Bostadsrätt,2 rum,50 m²,,,,2006,3 600 kr/år,,"1 av 1, hiss finns ej","Lägenhet - Nickstaviken, Nynäshamns kommun - Såld 29 september 2023",Stockholm,1 165 000 kr,bostadsratt,"Nickstaviken, Nynäshamns kommun", 29 september 2023,44.729722812363974
