,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
800,3 695 000 kr,-395 000 kr (-11 %),Lägenhet,Bostadsrätt,4 rum,93 m²,,Ja,,,7 200 kr/år,,"1 av 7, hiss finns","Lägenhet - Bolinder Strand, Järfälla kommun - Såld 25 november 2023",Stockholm,3 300 000 kr,bostadsratt,"Bolinder Strand, Järfälla kommun", 25 november 2023,21.438575678975795
801,4 195 000 kr,-95 000 kr (-2 %),Lägenhet,Bostadsrätt,3 rum,75 m²,,Ja,,2017,4 680 kr/år,,"3 av 5, hiss finns","Lägenhet - Tollare, Nacka kommun - Såld 25 november 2023",Stockholm,4 100 000 kr,bostadsratt,"Tollare, Nacka kommun", 25 november 2023,9.713220143294366
802,12 900 000 kr,-150 000 kr (-1 %),Lägenhet,Bostadsrätt,4 rum,118 m²,,Ja,,1915,19 800 kr/år,,"1 av 6, hiss finns","Lägenhet - Kungsholmen - Rådhuset, Stockholms kommun - Såld 25 november 2023",Stockholm,12 750 000 kr,bostadsratt,"Rådhuset, Stockholms kommun", 25 november 2023,1.6275013574860018
803,1 895 000 kr,-175 000 kr (-9 %),Lägenhet,Bostadsrätt,2 rum,46 m²,,Ja,,2017,8 868 kr/år,,"1, hiss finns","Lägenhet - Jakobsberg, Järfälla kommun - Såld 25 november 2023",Stockholm,1 720 000 kr,bostadsratt,"Jakobsberg, Järfälla kommun", 25 november 2023,17.426886775071083
804,4 995 000 kr,-370 000 kr (-7 %),Lägenhet,Bostadsrätt,4 rum,103 m²,,Ja,,1981,,,"1 av 4, hiss finns ej","Lägenhet - Enskede - Enskededalen, Stockholms kommun - Såld 25 november 2023",Stockholm,4 625 000 kr,bostadsratt,"Enskededalen, Stockholms kommun", 25 november 2023,5.2110161879924695
805,19 975 000 kr,-1 775 000 kr (-9 %),Lägenhet,Bostadsrätt,3 rum,92 m²,,,,1886,7 600 kr/år,Ja,,"Lägenhet - Östermalm, Stockholms kommun - Såld 25 november 2023",Stockholm,18 200 000 kr,bostadsratt,"Östermalm, Stockholms kommun", 25 november 2023,1.5439067402087117
806,5 995 000 kr,-295 000 kr (-5 %),Lägenhet,Bostadsrätt,3 rum,85 m²,,Ja,,1969,8 424 kr/år,,"3, hiss finns","Lägenhet - Södermalm, Stockholms kommun - Såld 25 november 2023",Stockholm,5 700 000 kr,bostadsratt,"Södermalm, Stockholms kommun", 25 november 2023,1.094778948837072
807,9 985 000 kr,-885 000 kr (-9 %),Lägenhet,Bostadsrätt,4 rum,115 m²,,Ja,,2020,14 224 kr/år,,"5 av 7, hiss finns","Lägenhet - Hammarby Sjöstad, Stockholms kommun - Såld 25 november 2023",Stockholm,9 100 000 kr,bostadsratt,"Hammarby Sjöstad, Stockholms kommun", 25 november 2023,2.9473305081274574
808,2 195 000 kr,-115 000 kr (-5 %),Lägenhet,Bostadsrätt,2 rum,76 m²,,Nej,,1989,6 310 kr/år,Ja,,"Lägenhet - Jarlaberg, Nacka kommun - Såld 25 november 2023",Stockholm,2 080 000 kr,bostadsratt,"Jarlaberg, Nacka kommun", 25 november 2023,5.737633743753939
809,2 895 000 kr,-45 000 kr (-2 %),Lägenhet,Bostadsrätt,1 rum,26 m²,,Ja,,1938,,,"3 av 9, hiss finns","Lägenhet - Fridhemsplan, Stockholms kommun - Såld 24 november 2023",Stockholm,2 850 000 kr,bostadsratt,"Fridhemsplan, Stockholms kommun", 24 november 2023,2.4404988572585995
