,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
4000,2 995 000 kr,+205 000 kr (+7 %),Lägenhet,Bostadsrätt,1 rum,30 m²,,Nej,,1953,4 800 kr/år,,"0,5 av 4, hiss finns","Lägenhet - Gärdet, Stockholms kommun - Såld 08 november 2023",Stockholm,3 200 000 kr,bostadsratt,"Gärdet, Stockholms kommun", 08 november 2023,2.8015836308250686
4001,5 195 000 kr,+305 000 kr (+6 %),Lägenhet,Bostadsrätt,3 rum,72 m²,,Ja,,2016,10 100 kr/år,,"3 av 23, hiss finns","Lägenhet - Liljeholmskajen, Stockholms kommun - Såld 08 november 2023",Stockholm,5 500 000 kr,bostadsratt,"Liljeholmskajen, Stockholms kommun", 08 november 2023,2.960772000763651
4002,2 950 000 kr,+100 000 kr (+3 %),Lägenhet,Bostadsrätt,3 rum,"74,5 m²",,Ja,,1961,,,"2 av 3, hiss finns ej","Lägenhet - Neglinge - Saltsjöbaden, Nacka kommun - Såld 08 november 2023",Stockholm,3 050 000 kr,bostadsratt,"Saltsjöbaden, Nacka kommun", 08 november 2023,14.267008297949955
4003,8 700 000 kr,+100 000 kr (+1 %),Lägenhet,Bostadsrätt,3 rum,82 m²,,Ja,,1936,,,"1 av 5, hiss finns","Lägenhet - Gärdet, Stockholms kommun - Såld 08 november 2023",Stockholm,8 800 000 kr,bostadsratt,"Gärdet, Stockholms kommun", 08 november 2023,2.8015836308250686
4004,3 400 000 kr,+300 000 kr (+9 %),Lägenhet,Bostadsrätt,1 rum,35 m²,,Nej,,1933,,,"4 av 6, hiss finns","Lägenhet - Södermalm- Mariaberget, Stockholms kommun - Såld 08 november 2023",Stockholm,3 700 000 kr,bostadsratt,"Södermalm- Mariaberget, Stockholms kommun", 08 november 2023,0.8587596499478949
4005,1 995 000 kr,+55 000 kr (+3 %),Lägenhet,Bostadsrätt,"1,5 rum",24 m²,9 m²,Ja,,2021,,,"3 av 3, hiss finns","Lägenhet - Hökarängen, Stockholms kommun - Såld 08 november 2023",Stockholm,2 050 000 kr,bostadsratt,"Hökarängen, Stockholms kommun", 08 november 2023,7.58234474956753
4006,5 995 000 kr,+385 000 kr (+6 %),Lägenhet,Bostadsrätt,2 rum,60 m²,,Ja,,1898,7 650 kr/år,,"5 av 5, hiss finns","Lägenhet - Nedre Kungsholmen, Stockholms kommun - Såld 08 november 2023",Stockholm,6 380 000 kr,bostadsratt,"Nedre Kungsholmen, Stockholms kommun", 08 november 2023,2.824587541487726
4007,2 195 000 kr,+225 000 kr (+10 %),Lägenhet,Bostadsrätt,2 rum,40 m²,,Ja,,1939,6 000 kr/år,,3 av 3,"Lägenhet - Bromma - Riksby/Brommaplan, Stockholms kommun - Såld 08 november 2023",Stockholm,2 420 000 kr,bostadsratt,"Riksby/Brommaplan, Stockholms kommun", 08 november 2023,7.621926726709035
4008,1 695 000 kr,+125 000 kr (+7 %),Lägenhet,Bostadsrätt,2 rum,55 m²,,Ja,,1947,7 200 kr/år,,"3 av 3, hiss finns ej","Lägenhet - Södertälje Södra, Södertälje kommun - Såld 08 november 2023",Stockholm,1 820 000 kr,bostadsratt,"Södertälje Södra, Södertälje kommun", 08 november 2023,29.200146589451485
4009,3 275 000 kr,+375 000 kr (+11 %),Lägenhet,Andel i bostadsförening,2 rum,33 m²,,Nej,,1892,,,"4 av 4, hiss finns ej","Lägenhet - Vasastan - Sibirien, Stockholms kommun - Såld 08 november 2023",Stockholm,3 650 000 kr,bostadsratt,"Sibirien, Stockholms kommun", 08 november 2023,2.5299274641901675
