,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
14400,7 995 000 kr,+1 005 000 kr (+13 %),Par-/kedje-/radhus,Äganderätt,6 rum,150 m²,,Ja,512 m²,1998,33 100 kr/år,Ja,,"Par-/kedje-/radhus - Täby/Gribbylund, Täby kommun - Såld 18 maj 2022",Stockholm,9 000 000 kr,RadHus,"Täby/Gribbylund, Täby kommun", 18 maj 2022,15.814198730656667
14401,4 295 000 kr,+255 000 kr (+6 %),Kedjehus,Äganderätt,5 rum,125 m²,26 m²,,333 m²,1967,44 225 kr/år,,,"Kedjehus - Skälby, Upplands Väsby kommun - Såld 18 maj 2022",Stockholm,4 550 000 kr,RadHus,"Skälby, Upplands Väsby kommun", 18 maj 2022,23.79096521880234
14402,4 495 000 kr,+445 000 kr (+10 %),Radhus,Äganderätt,4 rum,85 m²,3 m²,,94 m²,2011,23 700 kr/år,,,"Radhus - Sundbyberg, Sundbybergs kommun - Såld 18 maj 2022",Stockholm,4 940 000 kr,RadHus,"Sundbyberg, Sundbybergs kommun", 18 maj 2022,7.212362913079054
14403,3 995 000 kr,+155 000 kr (+4 %),Radhus,Bostadsrätt,4 rum,88 m²,,,,2005,9 400 kr/år,Ja,,"Radhus - Segeltorp, Huddinge kommun - Såld 17 maj 2022",Stockholm,4 150 000 kr,RadHus,"Segeltorp, Huddinge kommun", 17 maj 2022,9.085467513929755
14404,4 195 000 kr,+155 000 kr (+4 %),Radhus,Äganderätt,6 rum,150 m²,15 m²,Ja,243 m²,1967,35 500 kr/år,Ja,,"Radhus - Salem, Salems kommun - Såld 17 maj 2022",Stockholm,4 350 000 kr,RadHus,"Salem, Salems kommun", 17 maj 2022,22.22375660130049
14405,2 475 000 kr,+575 000 kr (+23 %),Radhus,Bostadsrätt,2 rum,58 m²,,,,1982,19 532 kr/år,,,"Radhus - Färingsö Stenhamra, Ekerö kommun - Såld 17 maj 2022",Stockholm,3 050 000 kr,RadHus,"Färingsö Stenhamra, Ekerö kommun", 17 maj 2022,20.705538159471182
14406,4 295 000 kr,+205 000 kr (+5 %),Radhus,Äganderätt,4 rum,110 m²,,,186 m²,1973,46 768 kr/år,,,"Radhus - Vällingby Kälvesta, Stockholms kommun - Såld 17 maj 2022",Stockholm,4 500 000 kr,RadHus,"Vällingby Kälvesta, Stockholms kommun", 17 maj 2022,13.282971242696496
14407,5 500 000 kr,+300 000 kr (+5 %),Parhus,Bostadsrätt,5 rum,"113,3 m²",,Ja,,2019,24 576 kr/år,Ja,,"Parhus - Fullersta, Huddinge kommun - Såld 17 maj 2022",Stockholm,5 800 000 kr,RadHus,"Fullersta, Huddinge kommun", 17 maj 2022,11.283850799919177
14408,2 995 000 kr,+905 000 kr (+30 %),Radhus,Bostadsrätt,4 rum,121 m²,,,,2014,22 400 kr/år,Ja,"1 av 1, hiss finns ej","Radhus - Båtstorp, Österåkers kommun - Såld 17 maj 2022",Stockholm,3 900 000 kr,RadHus,"Båtstorp, Österåkers kommun", 17 maj 2022,24.067289896458956
14409,4 295 000 kr,+305 000 kr (+7 %),Radhus,Bostadsrätt,5 rum,99 m²,,,,2015,14 400 kr/år,Ja,,"Radhus - Vega, Haninge kommun - Såld 17 maj 2022",Stockholm,4 600 000 kr,RadHus,"Vega, Haninge kommun", 17 maj 2022,15.884606867872265
