,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
0,1 395 000 kr,-145 000 kr (-10 %),Lägenhet,Bostadsrätt,2 rum,55 m²,,Ja,,1969,3 444 kr/år,,,"Lägenhet - Brandbergen, Haninge kommun - Såld 04 januari 2024",Stockholm,1 250 000 kr,bostadsratt,"Brandbergen, Haninge kommun", 04 januari 2024,18.15704274089121
1,2 050 000 kr,-70 000 kr (-3 %),Lägenhet,Bostadsrätt,2 rum,42 m²,,Ja,,2020,4 500 kr/år,,"3, hiss finns","Lägenhet - Vega, Haninge kommun - Såld 04 januari 2024",Stockholm,1 980 000 kr,bostadsratt,"Vega, Haninge kommun", 04 januari 2024,15.884606867872265
2,6 495 000 kr,-70 000 kr (-1 %),Lägenhet,Bostadsrätt,5 rum,104 m²,,Ja,,2022,,,"4 av 4, hiss finns","Lägenhet - Täby Park, Täby kommun - Såld 04 januari 2024",Stockholm,6 425 000 kr,bostadsratt,"Täby Park, Täby kommun", 04 januari 2024,13.380714449959125
3,3 750 000 kr,-300 000 kr (-8 %),Lägenhet,Bostadsrätt,4 rum,94 m²,,Ja,,1986,11 280 kr/år,,"1 av 3, hiss finns","Lägenhet - Skarpnäck, Stockholms kommun - Såld 03 januari 2024",Stockholm,3 450 000 kr,bostadsratt,"Skarpnäck, Stockholms kommun", 03 januari 2024,7.561757271831987
4,7 795 000 kr,-345 000 kr (-4 %),Lägenhet,Bostadsrätt,4 rum,111 m²,,Nej,,2021,22 332 kr/år,Ja,,"Lägenhet - Kummelnäs, Nacka kommun - Såld 03 januari 2024",Stockholm,7 450 000 kr,bostadsratt,"Kummelnäs, Nacka kommun", 03 januari 2024,12.192310931783267
5,695 000 kr,-190 000 kr (-27 %),Lägenhet,Bostadsrätt,2 rum,47 m²,,,,1975,3 600 kr/år,,"3 av 3, hiss finns","Lägenhet - Hovsjö, Södertälje kommun - Såld 03 januari 2024",Stockholm,505 000 kr,bostadsratt,"Hovsjö, Södertälje kommun", 03 januari 2024,31.605585451873754
6,5 200 000 kr,-425 000 kr (-8 %),Lägenhet,Bostadsrätt,4 rum,100 m²,,Ja,,,,,"2, hiss finns","Lägenhet - Centrala Sollentuna, Sollentuna kommun - Såld 03 januari 2024",Stockholm,4 775 000 kr,bostadsratt,"Centrala Sollentuna, Sollentuna kommun", 03 januari 2024,8.300376203982065
7,2 990 000 kr,-115 000 kr (-4 %),Lägenhet,Bostadsrätt,4 rum,88 m²,,Ja,,2011,,,"5 av 6, hiss finns","Lägenhet - Kista Gård, Stockholms kommun - Såld 03 januari 2024",Stockholm,2 875 000 kr,bostadsratt,"Kista Gård, Stockholms kommun", 03 januari 2024,11.902450808168052
8,2 495 000 kr,-145 000 kr (-6 %),Lägenhet,Bostadsrätt,3 rum,68 m²,,Ja,,2019,,,"6 av 12, hiss finns","Lägenhet - Vårsta, Botkyrka kommun - Såld 02 januari 2024",Stockholm,2 350 000 kr,bostadsratt,"Vårsta, Botkyrka kommun", 02 januari 2024,23.736349574527445
9,850 000 kr,-55 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,41 m²,,Nej,,1970,5 946 kr/år,,"3 av 3, hiss finns ej","Lägenhet - Kullsta, Nynäshamns kommun - Såld 02 januari 2024",Stockholm,795 000 kr,bostadsratt,"Kullsta, Nynäshamns kommun", 02 januari 2024,46.34574059459995
10,1 395 000 kr,-100 000 kr (-7 %),Lägenhet,Bostadsrätt,2 rum,54 m²,,Nej,,1985,22 128 kr/år,Ja,,"Lägenhet - Tumba, Botkyrka kommun - Såld 02 januari 2024",Stockholm,1 295 000 kr,bostadsratt,"Tumba, Botkyrka kommun", 02 januari 2024,19.36328695877675
11,3 695 000 kr,-45 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,"39,5 m²",,Nej,,1963,,,"4 av 9, hiss finns","Lägenhet - Kungsholmen Marieberg, Stockholms kommun - Såld 02 januari 2024",Stockholm,3 650 000 kr,bostadsratt,"Kungsholmen Marieberg, Stockholms kommun", 02 januari 2024,3.2404028136842036
12,4 750 000 kr,-230 000 kr (-5 %),Lägenhet,Bostadsrätt,3 rum,"62,5 m²",,Ja,,,19 799 kr/år,,"3, hiss finns","Lägenhet - Maria, Stockholms kommun - Såld 02 januari 2024",Stockholm,4 520 000 kr,bostadsratt,"Maria, Stockholms kommun", 02 januari 2024,0.0
13,3 995 000 kr,-25 000 kr (-1 %),Lägenhet,Bostadsrätt,"2,5 rum",67 m²,,Ja,,,4 200 kr/år,,"2 av 7, hiss finns","Lägenhet - Gärdet, Stockholms kommun - Såld 02 januari 2024",Stockholm,3 970 000 kr,bostadsratt,"Gärdet, Stockholms kommun", 02 januari 2024,2.8015836308250686
14,1 995 000 kr,-185 000 kr (-9 %),Lägenhet,Bostadsrätt,3 rum,73 m²,,Ja,,1969,6 360 kr/år,,"2 av 3, hiss finns","Lägenhet - Centralt, Upplands Väsby kommun - Såld 02 januari 2024",Stockholm,1 810 000 kr,bostadsratt,"Centralt, Upplands Väsby kommun", 02 januari 2024,23.069885175593264
15,1 895 000 kr,-145 000 kr (-8 %),Lägenhet,Bostadsrätt,2 rum,45 m²,,Ja,,2018,,,"2 av 4, hiss finns","Lägenhet - Kallhäll, Järfälla kommun - Såld 02 januari 2024",Stockholm,1 750 000 kr,bostadsratt,"Kallhäll, Järfälla kommun", 02 januari 2024,20.627503869858234
