,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
12800,5 895 000 kr,+295 000 kr (+5 %),Kedjehus,Äganderätt,4 rum,106 m²,,,617 m²,1993,40 500 kr/år,Ja,,"Kedjehus - Älvsjö - Långbro, Stockholms kommun - Såld 10 september 2023",Stockholm,6 190 000 kr,RadHus,"Långbro, Stockholms kommun", 10 september 2023,6.934557438163779
12801,4 995 000 kr,+605 000 kr (+12 %),Parhus,Bostadsrätt,6 rum,"92,1 m²",,,,2019,24 268 kr/år,Ja,,"Parhus - Farsta, Stockholms kommun - Såld 08 september 2023",Stockholm,5 600 000 kr,RadHus,"Farsta, Stockholms kommun", 08 september 2023,8.940762407424922
12802,4 895 000 kr,+205 000 kr (+4 %),Kedjehus,Äganderätt,5 rum,133 m²,,,340 m²,1974,37 200 kr/år,,,"Kedjehus - Hässelby Norra Villastad, Stockholms kommun - Såld 08 september 2023",Stockholm,5 100 000 kr,RadHus,"Hässelby Norra Villastad, Stockholms kommun", 08 september 2023,not found
12803,4 150 000 kr,+450 000 kr (+11 %),Radhus,Äganderätt,4 rum,127 m²,,,200 m²,1970,58 890 kr/år,,,"Radhus - Krusboda, Tyresö kommun - Såld 08 september 2023",Stockholm,4 600 000 kr,RadHus,"Krusboda, Tyresö kommun", 08 september 2023,14.876032527619332
12804,9 750 000 kr,+150 000 kr (+2 %),Radhus,Äganderätt,5 rum,99 m²,47 m²,,101 m²,1945,59 409 kr/år,,,"Radhus - Kyrkviken, Lidingö kommun - Såld 08 september 2023",Stockholm,9 900 000 kr,RadHus,"Kyrkviken, Lidingö kommun", 08 september 2023,7.565667396925965
12805,2 995 000 kr,+445 000 kr (+15 %),Radhus,Äganderätt,4 rum,93 m²,,,209 m²,1976,36 746 kr/år,,,"Radhus - Viksjö, Järfälla kommun - Såld 08 september 2023",Stockholm,3 440 000 kr,RadHus,"Viksjö, Järfälla kommun", 08 september 2023,18.13054118622004
12806,6 495 000 kr,+55 000 kr (+1 %),Radhus,Äganderätt,6 rum,135 m²,,,239 m²,1985,39 243 kr/år,,,"Radhus - Skarpäng, Täby kommun - Såld 08 september 2023",Stockholm,6 550 000 kr,RadHus,"Skarpäng, Täby kommun", 08 september 2023,13.568880017822565
12807,8 100 000 kr,+500 000 kr (+6 %),Kedjehus,Äganderätt,7 rum,170 m²,,,257 m²,1984,45 872 kr/år,,,"Kedjehus - Enebyberg, Danderyds kommun - Såld 08 september 2023",Stockholm,8 600 000 kr,RadHus,"Enebyberg, Danderyds kommun", 08 september 2023,11.956537878498196
12808,7 495 000 kr,+105 000 kr (+1 %),Parhus,Äganderätt,5 rum,125 m²,30 m²,,445 m²,1961,36 554 kr/år,,,"Parhus - Ella Gård, Täby kommun - Såld 08 september 2023",Stockholm,7 600 000 kr,RadHus,"Ella Gård, Täby kommun", 08 september 2023,13.360629058056498
12809,3 295 000 kr,+705 000 kr (+21 %),Radhus,Bostadsrätt,3 rum,74 m²,30 m²,,,1947,4 800 kr/år,Ja,,"Radhus - Bolinderbyn, Järfälla kommun - Såld 07 september 2023",Stockholm,4 000 000 kr,RadHus,"Bolinderbyn, Järfälla kommun", 07 september 2023,20.855064050588368
12810,4 475 000 kr,+225 000 kr (+5 %),Radhus,Äganderätt,5 rum,117 m²,65 m²,,221 m²,1971,40 000 kr/år,,,"Radhus - Hässelby Villastad, Stockholms kommun - Såld 07 september 2023",Stockholm,4 700 000 kr,RadHus,"Hässelby Villastad, Stockholms kommun", 07 september 2023,16.028198594857745
12811,9 750 000 kr,+175 000 kr (+2 %),Radhus,Bostadsrätt,5 rum,"104,5 m²",52 m²,,,1951,20 856 kr/år,Ja,,"Radhus - Näsbypark sjösidan, Täby kommun - Såld 07 september 2023",Stockholm,9 925 000 kr,RadHus,"Näsbypark sjösidan, Täby kommun", 07 september 2023,not found
12812,4 350 000 kr,+100 000 kr (+2 %),Radhus,Äganderätt,5 rum,126 m²,,,177 m²,1972,47 082 kr/år,,,"Radhus - Kärrdal, Sollentuna kommun - Såld 07 september 2023",Stockholm,4 450 000 kr,RadHus,"Kärrdal, Sollentuna kommun", 07 september 2023,12.737065161063425
12813,5 800 000 kr,+50 000 kr (+1 %),Kedjehus,Äganderätt,4 rum,103 m²,10 m²,,208 m²,1968,41 836 kr/år,,,"Kedjehus - Norrviken, Sollentuna kommun - Såld 06 september 2023",Stockholm,5 850 000 kr,RadHus,"Norrviken, Sollentuna kommun", 06 september 2023,17.018250682402243
12814,4 595 000 kr,+205 000 kr (+4 %),Parhus,Bostadsrätt,6 rum,118 m²,,,,2019,10 320 kr/år,Ja,"1 av 2, hiss finns ej","Parhus - Vinsta, Stockholms kommun - Såld 06 september 2023",Stockholm,4 800 000 kr,RadHus,"Vinsta, Stockholms kommun", 06 september 2023,13.21636978507356
12815,8 500 000 kr,+100 000 kr (+1 %),Radhus,Bostadsrätt,5 rum,121 m²,,,,2019,21 504 kr/år,Ja,,"Radhus - Silverdal, Sollentuna kommun - Såld 06 september 2023",Stockholm,8 600 000 kr,RadHus,"Silverdal, Sollentuna kommun", 06 september 2023,9.833750705277946
12816,3 295 000 kr,+25 000 kr (+1 %),Kedjehus,Äganderätt,5 rum,111 m²,15 m²,,182 m²,1974,38 000 kr/år,,,"Kedjehus - Söra, Österåkers kommun - Såld 06 september 2023",Stockholm,3 320 000 kr,RadHus,"Söra, Österåkers kommun", 06 september 2023,21.943835710182334
12817,2 450 000 kr,+300 000 kr (+12 %),Radhus,Bostadsrätt,3 rum,"84,5 m²",,,,1983,9 792 kr/år,Ja,,"Radhus - Östra Skogås, Huddinge kommun - Såld 06 september 2023",Stockholm,2 750 000 kr,RadHus,"Östra Skogås, Huddinge kommun", 06 september 2023,12.217270189755522
