,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
15200,19 500 000 kr,-2 000 000 kr (-10 %),Villa,Äganderätt,7 rum,201 m²,91 m²,,898 m²,1926,48 000 kr/år,,,"Villa - Bromma - Äppelviken, Stockholms kommun - Såld 20 november 2023",Stockholm,17 500 000 kr,villa,"Äppelviken, Stockholms kommun", 20 november 2023,5.692308373863161
15201,4 095 000 kr,-95 000 kr (-2 %),Villa,Äganderätt,6 rum,140 m²,50 m²,Ja,1 075 m²,1967,52 700 kr/år,Ja,,"Villa - Uttran, Botkyrka kommun - Såld 20 november 2023",Stockholm,4 000 000 kr,villa,"Uttran, Botkyrka kommun", 20 november 2023,21.201414097045106
15202,8 995 000 kr,-795 000 kr (-9 %),Villa,Äganderätt,5 rum,122 m²,76 m²,,1 402 m²,1933,53 191 kr/år,,,"Villa - Älta, Nacka kommun - Såld 20 november 2023",Stockholm,8 200 000 kr,villa,"Älta, Nacka kommun", 20 november 2023,9.814081764075405
15203,19 500 000 kr,-1 500 000 kr (-8 %),Villa,Äganderätt,8 rum,217 m²,85 m²,,712 m²,1932,87 736 kr/år,,,"Villa - Bromma - Nockeby, Stockholms kommun - Såld 20 november 2023",Stockholm,18 000 000 kr,villa,"Nockeby, Stockholms kommun", 20 november 2023,8.313455673585835
15204,7 850 000 kr,-350 000 kr (-4 %),Villa,Äganderätt,8 rum,187 m²,25 m²,,2 013 m²,2007,55 131 kr/år,,,"Villa - Tullinge Villastad, Botkyrka kommun - Såld 20 november 2023",Stockholm,7 500 000 kr,villa,"Tullinge Villastad, Botkyrka kommun", 20 november 2023,14.843533894943299
15205,5 695 000 kr,-195 000 kr (-3 %),Villa,Äganderätt,5 rum,138 m²,,,748 m²,2003,34 020 kr/år,,,"Villa - Sigtuna - Sjudargården, Sigtuna kommun - Såld 20 november 2023",Stockholm,5 500 000 kr,villa,"Sjudargården, Sigtuna kommun", 20 november 2023,39.56736544764859
15206,2 895 000 kr,-245 000 kr (-8 %),Villa,Äganderätt,6 rum,136 m²,9 m²,,366 m²,1980,28 671 kr/år,,,"Villa - Rimbo, Norrtälje kommun - Såld 20 november 2023",Stockholm,2 650 000 kr,villa,"Rimbo, Norrtälje kommun", 20 november 2023,49.587489574911814
15207,5 975 000 kr,-125 000 kr (-2 %),Villa,Äganderätt,7 rum,131 m²,29 m²,,646 m²,1925,35 800 kr/år,,,"Villa - Hässelby Södra Villastad, Stockholms kommun - Såld 20 november 2023",Stockholm,5 850 000 kr,villa,"Hässelby Södra Villastad, Stockholms kommun", 20 november 2023,15.290417543954947
15208,3 500 000 kr,-400 000 kr (-11 %),Villa,Tomträtt,8 rum,175 m²,,,840 m²,1972,2 475 kr/år,,,"Villa - Geneta, Södertälje kommun - Såld 19 november 2023",Stockholm,3 100 000 kr,villa,"Geneta, Södertälje kommun", 19 november 2023,31.56384960727167
15209,6 490 000 kr,-140 000 kr (-2 %),Villa,Äganderätt,7 rum,172 m²,25 m²,,1 221 m²,1968,40 990 kr/år,,,"Villa - Viksjö, Järfälla kommun - Såld 19 november 2023",Stockholm,6 350 000 kr,villa,"Viksjö, Järfälla kommun", 19 november 2023,18.13054118622004
