price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
N/A,3 495 000 kr,-195 000 kr (-6 %),Radhus,Äganderätt,6 rum,125 m²,20 m²,N/A,125 m²,1973,47 379 kr/år,N/A,N/A,"Radhus - Bro/Finnsta, Upplands-Bro kommun - Såld 20 december 2023",Stockholm,3 300 000 kr
40 000 kr/m²,2 600 000 kr,-200 000 kr (-8 %),Radhus,Bostadsrätt,2 rum,60 m²,N/A,N/A,N/A,1993,N/A,Ja,N/A,"Radhus - Viby, Sollentuna kommun - Såld 20 december 2023",Stockholm,2 400 000 kr
35 870 kr/m²,3 350 000 kr,-50 000 kr (-1 %),Radhus,Bostadsrätt,4 rum,92 m²,N/A,N/A,N/A,2019,32 439 kr/år,Ja,N/A,"Radhus - Täljöviken, Österåkers kommun - Såld 20 december 2023",Stockholm,3 300 000 kr
N/A,4 500 000 kr,-200 000 kr (-4 %),Radhus,Äganderätt,4 rum,104 m²,22 m²,N/A,114 m²,1961,56 100 kr/år,N/A,N/A,"Radhus - Farsta strand, Stockholms kommun - Såld 19 december 2023",Stockholm,4 300 000 kr
28 259 kr/m²,4 695 000 kr,-230 000 kr (-5 %),Parhus,Bostadsrätt,6 rum,158 m²,N/A,N/A,N/A,2018,26 880 kr/år,Ja,N/A,"Parhus - Stavsnäs, Värmdö kommun - Såld 19 december 2023",Stockholm,4 465 000 kr
N/A,4 495 000 kr,-195 000 kr (-4 %),Radhus,Äganderätt,6 rum,112 m²,56 m²,N/A,191 m²,1974,37 192 kr/år,N/A,N/A,"Radhus - Odenslunda, Upplands Väsby kommun - Såld 19 december 2023",Stockholm,4 300 000 kr
70 769 kr/m²,6 995 000 kr,-95 000 kr (-1 %),Radhus,Bostadsrätt,5 rum,"97,5 m²",49 m²,Ja,N/A,1961,13 560 kr/år,Ja,N/A,"Radhus - Stureby, Stockholms kommun - Såld 19 december 2023",Stockholm,6 900 000 kr
N/A,4 995 000 kr,-595 000 kr (-12 %),Radhus,Äganderätt,6 rum,154 m²,1 m²,N/A,493 m²,1980,45 890 kr/år,Ja,N/A,"Radhus - Viksjö, Järfälla kommun - Såld 19 december 2023",Stockholm,4 400 000 kr
N/A,5 200 000 kr,-150 000 kr (-3 %),Radhus,Äganderätt,4 rum,115 m²,N/A,N/A,163 m²,1984,39 380 kr/år,N/A,N/A,"Radhus - Viby, Sollentuna kommun - Såld 19 december 2023",Stockholm,5 050 000 kr
26 852 kr/m²,3 195 000 kr,-295 000 kr (-9 %),Radhus,Bostadsrätt,4 rum,108 m²,N/A,N/A,N/A,N/A,6 000 kr/år,Ja,N/A,"Radhus - Vendelsö, Haninge kommun - Såld 18 december 2023",Stockholm,2 900 000 kr
41 667 kr/m²,3 700 000 kr,-200 000 kr (-5 %),Radhus,Bostadsrätt,3 rum,84 m²,N/A,N/A,N/A,1993,N/A,Ja,N/A,"Radhus - Viby, Sollentuna kommun - Såld 18 december 2023",Stockholm,3 500 000 kr
N/A,8 995 000 kr,-45 000 kr (-1 %),Radhus,Äganderätt,6 rum,112 m²,N/A,N/A,198 m²,1987,46 400 kr/år,Ja,N/A,"Radhus - Rudboda, Lidingö kommun - Såld 17 december 2023",Stockholm,8 950 000 kr
37 500 kr/m²,2 495 000 kr,-95 000 kr (-4 %),Radhus,Bostadsrätt,2 rum,64 m²,N/A,N/A,N/A,1982,21 638 kr/år,Ja,"1 av 1, hiss finns ej","Radhus - Söderby, Haninge kommun - Såld 16 december 2023",Stockholm,2 400 000 kr
40 784 kr/m²,2 150 000 kr,-70 000 kr (-3 %),Radhus,Bostadsrätt,2 rum,51 m²,N/A,N/A,N/A,2004,16 200 kr/år,Ja,N/A,"Radhus - Botkyrka-Kyrkbyn, Botkyrka kommun - Såld 15 december 2023",Stockholm,2 080 000 kr
N/A,3 195 000 kr,-45 000 kr (-1 %),Radhus,Äganderätt,4 rum,108 m²,N/A,N/A,132 m²,1988,40 042 kr/år,N/A,N/A,"Radhus - Åkersberga, Österåkers kommun - Såld 15 december 2023",Stockholm,3 150 000 kr
55 405 kr/m²,6 195 000 kr,-45 000 kr (-1 %),Parhus,Bostadsrätt,5 rum,111 m²,N/A,N/A,N/A,2015,16 200 kr/år,Ja,N/A,"Parhus - Eriksvik, Nacka kommun - Såld 15 december 2023",Stockholm,6 150 000 kr
46 360 kr/m²,5 995 000 kr,-200 000 kr (-3 %),Par-/kedje-/radhus,Bostadsrätt,5 rum,125 m²,18 m²,Ja,N/A,2008,32 460 kr/år,Ja,N/A,"Par-/kedje-/radhus - Älvsjö - Långbro, Stockholms kommun - Såld 15 december 2023",Stockholm,5 795 000 kr
N/A,3 750 000 kr,-400 000 kr (-11 %),Radhus,Tomträtt,6 rum,120 m²,30 m²,N/A,382 m²,1970,39 900 kr/år,Ja,N/A,"Radhus - Rönninge, Salems kommun - Såld 15 december 2023",Stockholm,3 350 000 kr
N/A,10 950 000 kr,-1 475 000 kr (-13 %),Kedjehus,Äganderätt,5 rum,132 m²,N/A,N/A,375 m²,1987,30 900 kr/år,Ja,N/A,"Kedjehus - Kottla, Lidingö kommun - Såld 15 december 2023",Stockholm,9 475 000 kr
N/A,4 795 000 kr,-195 000 kr (-4 %),Parhus,Äganderätt,5 rum,124 m²,1 m²,N/A,181 m²,1982,57 194 kr/år,Ja,N/A,"Parhus - Myrängen, Huddinge kommun - Såld 15 december 2023",Stockholm,4 600 000 kr
N/A,5 295 000 kr,-195 000 kr (-4 %),Radhus,Tomträtt,5 rum,100 m²,50 m²,N/A,185 m²,1968,57 065 kr/år,N/A,N/A,"Radhus - Duvnäs Utskog, Nacka kommun - Såld 15 december 2023",Stockholm,5 100 000 kr
