,price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price,type,precise_location,date_sold,distance_from_city_center
7200,3 100 000 kr,-300 000 kr (-10 %),Vinterbonat fritidshus,Äganderätt,6 rum,122 m²,,,2 022 m²,1975,24 860 kr/år,,,"Vinterbonat fritidshus - Gumrarö, Österåkers kommun - Såld 10 juni 2015",Stockholm,2 800 000 kr,fritidshus,"Gumrarö, Österåkers kommun", 10 juni 2015,27.24753108022223
7201,2 300 000 kr,-100 000 kr (-4 %),Fritidsboende,Äganderätt,5 rum,154 m²,,,98 m²,2005,6 000 kr/år,,,"Fritidsboende - NYKVARN Vidbynäs, Nykvarns kommun - Såld 09 juni 2015",Stockholm,2 200 000 kr,fritidshus,"NYKVARN Vidbynäs, Nykvarns kommun", 09 juni 2015,38.18350467774967
7202,590 000 kr,-20 000 kr (-3 %),Fritidsboende,Äganderätt,3 rum,50 m²,,,2 493 m²,1960,10 800 kr/år,,,"Fritidsboende - Norrbyggeby, Norrtälje kommun - Såld 09 juni 2015",Stockholm,570 000 kr,fritidshus,"Norrbyggeby, Norrtälje kommun", 09 juni 2015,60.46750080648327
7203,1 175 000 kr,-85 000 kr (-7 %),Vinterbonat fritidshus,Äganderätt,3 rum,75 m²,,,1 836 m²,1978,11 750 kr/år,,,"Vinterbonat fritidshus - Fårgångsö, Norrtälje kommun - Såld 06 juni 2015",Stockholm,1 090 000 kr,fritidshus,"Fårgångsö, Norrtälje kommun", 06 juni 2015,54.90969125796027
7204,1 395 000 kr,-95 000 kr (-7 %),Vinterbonat fritidshus,Äganderätt,4 rum,61 m²,,,2 519 m²,1979,3 764 kr/år,,,"Vinterbonat fritidshus - Gräsholmen - Upplands-Bro, Upplands-Bro kommun - Såld 05 juni 2015",Stockholm,1 300 000 kr,fritidshus,"Upplands-Bro, Upplands-Bro kommun", 05 juni 2015,28.99665349302636
7205,995 000 kr,-120 000 kr (-12 %),Fritidsboende,Äganderätt,3 rum,45 m²,,,2 137 m²,1976,12 985 kr/år,,,"Fritidsboende - Rörvik, Norrtälje kommun - Såld 05 juni 2015",Stockholm,875 000 kr,fritidshus,"Rörvik, Norrtälje kommun", 05 juni 2015,80.24534816322027
7206,1 995 000 kr,-95 000 kr (-5 %),Fritidsboende,Äganderätt,3 rum,35 m²,,,4 672 m²,1965,13 420 kr/år,,,"Fritidsboende - Nodsta, Norrtälje kommun - Såld 05 juni 2015",Stockholm,1 900 000 kr,fritidshus,"Nodsta, Norrtälje kommun", 05 juni 2015,65.04066426951687
7207,475 000 kr,-100 000 kr (-21 %),Fritidsboende,Äganderätt,3 rum,47 m²,,,,1952,,,,"Fritidsboende - Mörkö, Södertälje kommun - Såld 04 juni 2015",Stockholm,375 000 kr,fritidshus,"Mörkö, Södertälje kommun", 04 juni 2015,44.63192997479822
7208,1 375 000 kr,-310 000 kr (-23 %),Vinterbonat fritidshus,Äganderätt,4 rum,64 m²,6 m²,,3 473 m²,1958,13 590 kr/år,,,"Vinterbonat fritidshus - Vätö, Norrtälje kommun - Såld 04 juni 2015",Stockholm,1 065 000 kr,fritidshus,"Vätö, Norrtälje kommun", 04 juni 2015,74.44904544543692
7209,595 000 kr,-45 000 kr (-8 %),Fritidsboende,Äganderätt,2 rum,37 m²,,,1 991 m²,1971,,,,"Fritidsboende - Gummarö, Norrtälje kommun - Såld 04 juni 2015",Stockholm,550 000 kr,fritidshus,"Gummarö, Norrtälje kommun", 04 juni 2015,65.98981272756669
7210,2 300 000 kr,-200 000 kr (-9 %),Fritidsboende,Äganderätt,4 rum,72 m²,,,2 630 m²,1960,16 800 kr/år,,,"Fritidsboende - Torö, Nynäshamn, Nynäshamns kommun - Såld 03 juni 2015",Stockholm,2 100 000 kr,fritidshus,"Torö, Nynäshamn, Nynäshamns kommun", 03 juni 2015,57.29095954689067
7211,1 990 000 kr,-90 000 kr (-5 %),Fritidsboende,Äganderätt,3 rum,52 m²,,,1 550 m²,1976,16 745 kr/år,,,"Fritidsboende - Gladö Kvarn, Huddinge kommun - Såld 02 juni 2015",Stockholm,1 900 000 kr,fritidshus,"Gladö Kvarn, Huddinge kommun", 02 juni 2015,15.38059998795104
7212,2 200 000 kr,-100 000 kr (-5 %),Vinterbonat fritidshus,Äganderätt,3 rum,45 m²,15 m²,,2 330 m²,2014,15 613 kr/år,,,"Vinterbonat fritidshus - Hemfosa, Haninge kommun - Såld 02 juni 2015",Stockholm,2 100 000 kr,fritidshus,"Hemfosa, Haninge kommun", 02 juni 2015,29.198465270631143
7213,1 975 000 kr,-125 000 kr (-6 %),Vinterbonat fritidshus,Äganderätt,3 rum,62 m²,,,3 162 m²,1990,15 079 kr/år,,,"Vinterbonat fritidshus - Rö, Norrtälje kommun - Såld 02 juni 2015",Stockholm,1 850 000 kr,fritidshus,"Rö, Norrtälje kommun", 02 juni 2015,44.656645664338576
7214,3 800 000 kr,-200 000 kr (-5 %),Vinterbonat fritidshus,Äganderätt,"2,5 rum",51 m²,,,7 425 m²,1986,10 300 kr/år,,,"Vinterbonat fritidshus - Hemmarö, Norrtälje kommun - Såld 02 juni 2015",Stockholm,3 600 000 kr,fritidshus,"Hemmarö, Norrtälje kommun", 02 juni 2015,53.530282493560335
7215,1 795 000 kr,-120 000 kr (-7 %),Vinterbonat fritidshus,Äganderätt,3 rum,65 m²,30 m²,,2 662 m²,1966,18 954 kr/år,,,"Vinterbonat fritidshus - Garns Ekskogen, Vallentuna kommun - Såld 02 juni 2015",Stockholm,1 675 000 kr,fritidshus,"Garns Ekskogen, Vallentuna kommun", 02 juni 2015,36.38713328742043
7216,5 400 000 kr,-650 000 kr (-12 %),Fritidsboende,Äganderätt,3 rum,65 m²,,,4 984 m²,1955,7 970 kr/år,,,"Fritidsboende - Solö, Norrtälje kommun - Såld 01 juni 2015",Stockholm,4 750 000 kr,fritidshus,"Solö, Norrtälje kommun", 01 juni 2015,55.622937249737376
7217,1 995 000 kr,-145 000 kr (-7 %),Fritidsboende,Äganderätt,3 rum,61 m²,,,3 073 m²,1970,15 367 kr/år,,,Fritidsboende - Norrtälje kommun - Såld 01 juni 2015,Stockholm,1 850 000 kr,fritidshus,Norrtälje kommun, 01 juni 2015,60.70480763502802
7218,750 000 kr,-25 000 kr (-3 %),Fritidsboende,Äganderätt,2 rum,40 m²,10 m²,,301 m²,1986,12 680 kr/år,,,"Fritidsboende - Järna, Södertälje kommun - Såld 30 maj 2015",Stockholm,725 000 kr,fritidshus,"Järna, Södertälje kommun", 30 maj 2015,38.90692245768028
7219,2 695 000 kr,-145 000 kr (-5 %),Fritidsboende,Äganderätt,3 rum,48 m²,,,1 560 m²,1939,5 500 kr/år,,,"Fritidsboende - Gustavsvik, Nacka kommun - Såld 30 maj 2015",Stockholm,2 550 000 kr,fritidshus,"Gustavsvik, Nacka kommun", 30 maj 2015,13.281991741084216
7220,2 875 000 kr,-25 000 kr (-1 %),Vinterbonat fritidshus,Äganderätt,3 rum,54 m²,49 m²,,2 534 m²,1971,53 400 kr/år,,,"Vinterbonat fritidshus - Långvik, Värmdö kommun - Såld 29 maj 2015",Stockholm,2 850 000 kr,fritidshus,"Långvik, Värmdö kommun", 29 maj 2015,26.726811051972213
7221,1 050 000 kr,-69 000 kr (-7 %),Vinterbonat fritidshus,Äganderätt,3 rum,83 m²,,,2 466 m²,1983,20 670 kr/år,,,"Vinterbonat fritidshus - Hummelbol, Norrtälje kommun - Såld 29 maj 2015",Stockholm,981 000 kr,fritidshus,"Hummelbol, Norrtälje kommun", 29 maj 2015,53.81011289450303
7222,450 000 kr,-25 000 kr (-6 %),Fritidsboende,Äganderätt,1 rum,20 m²,,,300 m²,,5 500 kr/år,,,"Fritidsboende - Aspvik, Upplands-Bro kommun - Såld 28 maj 2015",Stockholm,425 000 kr,fritidshus,"Aspvik, Upplands-Bro kommun", 28 maj 2015,27.506965862168414
7223,1 495 000 kr,-45 000 kr (-3 %),Vinterbonat fritidshus,Äganderätt,2 rum,48 m²,13 m²,,4 244 m²,1962,6 915 kr/år,,,"Vinterbonat fritidshus - Åkersberga, Österåkers kommun - Såld 27 maj 2015",Stockholm,1 450 000 kr,fritidshus,"Åkersberga, Österåkers kommun", 27 maj 2015,21.62636603924097
7224,1 300 000 kr,-165 000 kr (-13 %),Fritidsboende,Äganderätt,3 rum,46 m²,,,2 204 m²,1963,6 700 kr/år,,,"Fritidsboende - Berga Ö, Nykvarns kommun - Såld 27 maj 2015",Stockholm,1 135 000 kr,fritidshus,"Berga Ö, Nykvarns kommun", 27 maj 2015,46.484784036645536
7225,4 150 000 kr,-50 000 kr (-1 %),Fritidsboende,Äganderätt,4 rum,59 m²,,,2 128 m²,1992,14 000 kr/år,,,"Fritidsboende - Älgö, Nacka kommun - Såld 26 maj 2015",Stockholm,4 100 000 kr,fritidshus,"Älgö, Nacka kommun", 26 maj 2015,16.813885974149372
7226,2 975 000 kr,-75 000 kr (-3 %),Vinterbonat fritidshus,Äganderätt,3 rum,54 m²,,,1 864 m²,1969,24 280 kr/år,,,"Vinterbonat fritidshus - Sigtuna - Västra, Sigtuna kommun - Såld 26 maj 2015",Stockholm,2 900 000 kr,fritidshus,"Västra, Sigtuna kommun", 26 maj 2015,42.14614978224951
7227,1 375 000 kr,-50 000 kr (-4 %),Vinterbonat fritidshus,Äganderätt,3 rum,90 m²,,,2 322 m²,1967,,,,"Vinterbonat fritidshus - Syninge, Norrtälje kommun - Såld 25 maj 2015",Stockholm,1 325 000 kr,fritidshus,"Syninge, Norrtälje kommun", 25 maj 2015,53.38960202659624
7228,1 675 000 kr,-100 000 kr (-6 %),Vinterbonat fritidshus,Äganderätt,4 rum,68 m²,,,1 875 m²,1984,12 835 kr/år,,,"Vinterbonat fritidshus - Rådmansö-Gräddö, Norrtälje kommun - Såld 25 maj 2015",Stockholm,1 575 000 kr,fritidshus,"Rådmansö-Gräddö, Norrtälje kommun", 25 maj 2015,72.94533821874187
7229,1 495 000 kr,-45 000 kr (-3 %),Fritidsboende,Äganderätt,4 rum,80 m²,,,2 336 m²,1967,10 959 kr/år,,,"Fritidsboende - Lisö, Nynäshamns kommun - Såld 25 maj 2015",Stockholm,1 450 000 kr,fritidshus,"Lisö, Nynäshamns kommun", 25 maj 2015,44.729722812363974
7230,995 000 kr,-200 000 kr (-20 %),Fritidsboende,Äganderätt,3 rum,55 m²,,,2 075 m²,1977,15 797 kr/år,,,"Fritidsboende - Mobacken, Norrtälje kommun - Såld 23 maj 2015",Stockholm,795 000 kr,fritidshus,"Mobacken, Norrtälje kommun", 23 maj 2015,91.92455292941014
7231,1 875 000 kr,-50 000 kr (-3 %),Fritidsboende,Äganderätt,2 rum,40 m²,48 m²,,2 920 m²,1960,10 315 kr/år,,,"Fritidsboende - Bro Stentorp, Upplands-Bro kommun - Såld 23 maj 2015",Stockholm,1 825 000 kr,fritidshus,"Bro Stentorp, Upplands-Bro kommun", 23 maj 2015,33.121408938013154
7232,2 595 000 kr,-195 000 kr (-8 %),Fritidsboende,Äganderätt,3 rum,68 m²,4 m²,,3 170 m²,2007,,,,"Fritidsboende - Torö/Svärdsö/Oxnö, Nynäshamns kommun - Såld 22 maj 2015",Stockholm,2 400 000 kr,fritidshus,"Torö/Svärdsö/Oxnö, Nynäshamns kommun", 22 maj 2015,not found
7233,1 800 000 kr,-100 000 kr (-6 %),Vinterbonat fritidshus,Äganderätt,5 rum,57 m²,52 m²,,2 130 m²,1977,28 724 kr/år,,,"Vinterbonat fritidshus - Ösmo-Lyngsta fritidsområde, Nynäshamns kommun - Såld 22 maj 2015",Stockholm,1 700 000 kr,fritidshus,"Ösmo-Lyngsta fritidsområde, Nynäshamns kommun", 22 maj 2015,43.17458109596579
7234,375 000 kr,-25 000 kr (-7 %),Fritidsboende,Äganderätt,2 rum,40 m²,,,490 m²,1940,6 325 kr/år,,,"Fritidsboende - Gamla Malmsjön, Södertälje kommun - Såld 22 maj 2015",Stockholm,350 000 kr,fritidshus,"Gamla Malmsjön, Södertälje kommun", 22 maj 2015,31.72099942579356
7235,2 900 000 kr,-550 000 kr (-19 %),Fritidsboende,Äganderätt,3 rum,60 m²,,,3 431 m²,1948,15 500 kr/år,,,"Fritidsboende - Ljusterö Linanäs, Österåkers kommun - Såld 21 maj 2015",Stockholm,2 350 000 kr,fritidshus,"Ljusterö Linanäs, Österåkers kommun", 21 maj 2015,29.98798306665358
