price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
N/A,5 350 000 kr,-170 000 kr (-3 %),Villa,Äganderätt,5 rum,151 m²,N/A,N/A,841 m²,1969,36 439 kr/år,N/A,N/A,"Villa - Hacksta, Österåkers kommun - Såld 20 december 2023",Stockholm,5 180 000 kr
N/A,3 495 000 kr,-60 000 kr (-2 %),Villa,Äganderätt,3 rum,85 m²,N/A,N/A,1 382 m²,1978,27 292 kr/år,N/A,N/A,"Villa - Bergshamra/Enviken, Norrtälje kommun - Såld 20 december 2023",Stockholm,3 435 000 kr
N/A,6 995 000 kr,-45 000 kr (-1 %),Villa,Äganderätt,5 rum,134 m²,N/A,N/A,711 m²,1999,46 200 kr/år,N/A,N/A,"Villa - Uthamra, Vallentuna kommun - Såld 20 december 2023",Stockholm,6 950 000 kr
N/A,2 500 000 kr,-200 000 kr (-8 %),Villa,Äganderätt,5 rum,122 m²,N/A,N/A,2 151 m²,1971,11 800 kr/år,N/A,N/A,"Villa - Älgeby/brottby, Vallentuna kommun - Såld 20 december 2023",Stockholm,2 300 000 kr
N/A,7 395 000 kr,-595 000 kr (-8 %),Villa,Äganderätt,4 rum,131 m²,N/A,N/A,1 250 m²,2014,49 150 kr/år,N/A,N/A,"Villa - Kolartorp, Haninge kommun - Såld 20 december 2023",Stockholm,6 800 000 kr
N/A,2 395 000 kr,-95 000 kr (-4 %),Vinterbonat fritidshus,Äganderätt,2 rum,45 m²,7 m²,N/A,920 m²,1910,32 034 kr/år,N/A,N/A,"Vinterbonat fritidshus - Rådmansö - Södersvik, Norrtälje kommun - Såld 19 december 2023",Stockholm,2 300 000 kr
N/A,6 295 000 kr,-795 000 kr (-13 %),Villa,Äganderätt,5 rum,143 m²,35 m²,N/A,1 257 m²,1949,31 010 kr/år,N/A,N/A,"Villa - Skälby, Järfälla kommun - Såld 19 december 2023",Stockholm,5 500 000 kr
N/A,1 450 000 kr,-100 000 kr (-7 %),Villa,Äganderätt,5 rum,140 m²,N/A,N/A,1 226 m²,1970,48 548 kr/år,N/A,N/A,"Villa - Hallstavik - Häverödal, Norrtälje kommun - Såld 19 december 2023",Stockholm,1 350 000 kr
N/A,5 195 000 kr,-195 000 kr (-4 %),Villa,Äganderätt,6 rum,155 m²,N/A,N/A,506 m²,1991,94 706 kr/år,Ja,N/A,"Villa - Skärgårdsstad, Österåkers kommun - Såld 19 december 2023",Stockholm,5 000 000 kr
N/A,4 300 000 kr,-100 000 kr (-2 %),Villa,Äganderätt,6 rum,112 m²,N/A,N/A,229 m²,1973,55 690 kr/år,N/A,N/A,"Villa - Fresta, Upplands Väsby kommun - Såld 19 december 2023",Stockholm,4 200 000 kr
N/A,8 250 000 kr,-350 000 kr (-4 %),Villa,Äganderätt,5 rum,66 m²,61 m²,Ja,397 m²,1937,38 045 kr/år,Ja,N/A,"Villa - Norra Ängby, Stockholms kommun - Såld 18 december 2023",Stockholm,7 900 000 kr
N/A,6 995 000 kr,-245 000 kr (-4 %),Villa,Äganderätt,8 rum,190 m²,38 m²,Ja,1 285 m²,2010,32 000 kr/år,Ja,N/A,"Villa - Glömsta, Huddinge kommun - Såld 18 december 2023",Stockholm,6 750 000 kr
N/A,2 995 000 kr,-395 000 kr (-13 %),Villa,Äganderätt,5 rum,141 m²,N/A,N/A,404 m²,1971,36 667 kr/år,Ja,N/A,"Villa - Järna, Södertälje kommun - Såld 18 december 2023",Stockholm,2 600 000 kr
N/A,17 200 000 kr,-950 000 kr (-6 %),Villa,Äganderätt,9 rum,320 m²,N/A,N/A,3 928 m²,2013,93 000 kr/år,N/A,N/A,"Villa - Vågsjö, Ullna, Täby kommun - Såld 17 december 2023",Stockholm,16 250 000 kr
N/A,4 495 000 kr,-500 000 kr (-11 %),Villa,Äganderätt,3 rum,60 m²,N/A,N/A,2 525 m²,1957,20 762 kr/år,N/A,N/A,"Villa - Ekerö-Helgö, Ekerö kommun - Såld 16 december 2023",Stockholm,3 995 000 kr
N/A,2 495 000 kr,-395 000 kr (-16 %),Villa,Äganderätt,3 rum,106 m²,N/A,N/A,400 m²,1973,40 270 kr/år,Ja,N/A,"Villa - Ösmo, Nynäshamns kommun - Såld 15 december 2023",Stockholm,2 100 000 kr
N/A,6 495 000 kr,-495 000 kr (-8 %),Villa,Äganderätt,4 rum,142 m²,67 m²,Ja,1 156 m²,1936,46 479 kr/år,Ja,N/A,"Villa - Segeltorp, Huddinge kommun - Såld 15 december 2023",Stockholm,6 000 000 kr
N/A,5 995 000 kr,-370 000 kr (-6 %),Villa,Äganderätt,5 rum,139 m²,N/A,N/A,344 m²,2019,45 196 kr/år,N/A,N/A,"Villa - Runö, Österåkers kommun - Såld 14 december 2023",Stockholm,5 625 000 kr
N/A,7 495 000 kr,-75 000 kr (-1 %),Villa,Äganderätt,8 rum,170 m²,134 m²,N/A,933 m²,1970,22 000 kr/år,N/A,N/A,"Villa - Stortorp, Stockholms kommun - Såld 14 december 2023",Stockholm,7 420 000 kr
N/A,6 795 000 kr,-295 000 kr (-4 %),Villa,Äganderätt,5 rum,160 m²,22 m²,N/A,"1 451,7 m²",2001,28 872 kr/år,Ja,N/A,"Villa - Solgård, Huddinge kommun - Såld 14 december 2023",Stockholm,6 500 000 kr
N/A,9 900 000 kr,-1 600 000 kr (-16 %),Villa,Äganderätt,5 rum,152 m²,N/A,Ja,507 m²,2023,42 000 kr/år,Ja,N/A,"Villa - Vallentuna, Vallentuna kommun - Såld 14 december 2023",Stockholm,8 300 000 kr
N/A,7 795 000 kr,-245 000 kr (-3 %),Villa,Äganderätt,6 rum,180 m²,N/A,N/A,1 152 m²,1978,39 868 kr/år,N/A,N/A,"Villa - Viksjö Hummelmora, Järfälla kommun - Såld 13 december 2023",Stockholm,7 550 000 kr
N/A,5 995 000 kr,-495 000 kr (-8 %),Vinterbonat fritidshus,Äganderätt,4 rum,110 m²,35 m²,N/A,5 103 m²,1954,4 200 kr/år,N/A,N/A,"Vinterbonat fritidshus - Ängsvik, Värmdö kommun - Såld 13 december 2023",Stockholm,5 500 000 kr
N/A,5 995 000 kr,-245 000 kr (-4 %),Villa,Äganderätt,6 rum,"192,5 m²",N/A,N/A,1 206 m²,1958,55 286 kr/år,Ja,N/A,"Villa - Gamla Kungsängen, Upplands-Bro kommun - Såld 13 december 2023",Stockholm,5 750 000 kr
N/A,7 600 000 kr,-200 000 kr (-3 %),Villa,Äganderätt,4 rum,113 m²,N/A,N/A,288 m²,2006,34 124 kr/år,N/A,N/A,"Villa - Kvarnskogen, Sollentuna kommun - Såld 13 december 2023",Stockholm,7 400 000 kr
N/A,3 175 000 kr,-175 000 kr (-6 %),Villa,Äganderätt,3 rum,58 m²,36 m²,N/A,1 753 m²,1960,39 918 kr/år,N/A,N/A,"Villa - Färingsö Ricksättra, Ekerö kommun - Såld 13 december 2023",Stockholm,3 000 000 kr
N/A,12 995 000 kr,-1 045 000 kr (-8 %),Villa,Äganderätt,8 rum,170 m²,90 m²,N/A,1 181 m²,2018,75 518 kr/år,N/A,N/A,"Villa - Resarö, Vaxholms kommun - Såld 13 december 2023",Stockholm,11 950 000 kr
N/A,17 500 000 kr,-800 000 kr (-5 %),Villa,Äganderätt,10 rum,305 m²,62 m²,N/A,2 124 m²,1907,95 500 kr/år,N/A,N/A,"Villa - Storängen, Nacka kommun - Såld 13 december 2023",Stockholm,16 700 000 kr
N/A,7 500 000 kr,-300 000 kr (-4 %),Villa,Äganderätt,6 rum,150 m²,69 m²,N/A,1 076 m²,1940,41 367 kr/år,N/A,N/A,"Villa - Norrviken, Sollentuna kommun - Såld 12 december 2023",Stockholm,7 200 000 kr
