price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
N/A,5 500 000 kr,-400 000 kr (-7 %),Vinterbonat fritidshus,Äganderätt,3 rum,74 m²,N/A,N/A,2 207 m²,1980,20 500 kr/år,N/A,N/A,"Vinterbonat fritidshus - Solö, Norrtälje kommun - Såld 17 november 2023",Stockholm,5 100 000 kr
N/A,995 000 kr,-70 000 kr (-7 %),Fritidshus,Äganderätt,3 rum,33 m²,N/A,N/A,300 m²,1989,12 661 kr/år,N/A,N/A,"Fritidshus - Vårsta, Botkyrka kommun - Såld 16 november 2023",Stockholm,925 000 kr
N/A,1 595 000 kr,-95 000 kr (-6 %),Fritidshus,Äganderätt,2 rum,46 m²,N/A,N/A,1 481 m²,1935,N/A,N/A,N/A,"Fritidshus - Tulka, Norrtälje kommun - Såld 07 november 2023",Stockholm,1 500 000 kr
N/A,2 350 000 kr,-200 000 kr (-9 %),Vinterbonat fritidshus,Äganderätt,3 rum,60 m²,N/A,N/A,1 392 m²,1979,24 994 kr/år,N/A,N/A,"Vinterbonat fritidshus - Bergshamra (södra delen), Norrtälje kommun - Såld 07 november 2023",Stockholm,2 150 000 kr
N/A,1 895 000 kr,-195 000 kr (-10 %),Vinterbonat fritidshus,Äganderätt,2 rum,59 m²,N/A,N/A,1 495 m²,1980,32 849 kr/år,N/A,N/A,"Vinterbonat fritidshus - Bergshamra  - Enviken, Norrtälje kommun - Såld 07 november 2023",Stockholm,1 700 000 kr
N/A,2 245 000 kr,-245 000 kr (-11 %),Vinterbonat fritidshus,Äganderätt,5 rum,120 m²,8 m²,N/A,2 088 m²,1981,43 056 kr/år,N/A,N/A,"Vinterbonat fritidshus - Smara, Norrtälje kommun - Såld 06 november 2023",Stockholm,2 000 000 kr
N/A,5 495 000 kr,-695 000 kr (-13 %),Fritidshus,Äganderätt,2 rum,49 m²,N/A,N/A,1 346 m²,1942,4 800 kr/år,N/A,N/A,"Fritidshus - Kummelnäs, Nacka kommun - Såld 04 november 2023",Stockholm,4 800 000 kr
N/A,2 695 000 kr,-195 000 kr (-7 %),Fritidshus,Äganderätt,N/A,28 m²,N/A,N/A,2 626 m²,1954,N/A,N/A,N/A,"Fritidshus - Gudö, Haninge kommun - Såld 03 november 2023",Stockholm,2 500 000 kr
N/A,2 500 000 kr,-400 000 kr (-16 %),Fritidshus,Äganderätt,3 rum,67 m²,N/A,N/A,2 160 m²,1969,30 622 kr/år,N/A,N/A,"Fritidshus - Dalarö, Haninge kommun - Såld 02 november 2023",Stockholm,2 100 000 kr
N/A,2 195 000 kr,-200 000 kr (-9 %),Vinterbonat fritidshus,Äganderätt,2 rum,41 m²,N/A,N/A,1 978 m²,1975,32 187 kr/år,N/A,N/A,"Vinterbonat fritidshus - Vätö, Norrtälje kommun - Såld 02 november 2023",Stockholm,1 995 000 kr
N/A,1 950 000 kr,-400 000 kr (-21 %),Fritidshus,Äganderätt,2 rum,50 m²,N/A,N/A,5 426 m²,1993,N/A,Ja,N/A,"Fritidshus - Ljusterö, Österåkers kommun - Såld 01 november 2023",Stockholm,1 550 000 kr
N/A,2 650 000 kr,-620 000 kr (-23 %),Fritidshus,Äganderätt,3 rum,43 m²,20 m²,N/A,5 330 m²,1988,30 162 kr/år,N/A,N/A,"Fritidshus - Haninge/Muskö, Haninge kommun - Såld 01 november 2023",Stockholm,2 030 000 kr
N/A,4 100 000 kr,-300 000 kr (-7 %),Vinterbonat fritidshus,Äganderätt,4 rum,50 m²,N/A,N/A,2 747 m²,1980,18 906 kr/år,N/A,N/A,"Vinterbonat fritidshus - Ljusterö, Österåkers kommun - Såld 31 oktober 2023",Stockholm,3 800 000 kr
N/A,2 995 000 kr,-495 000 kr (-17 %),Vinterbonat fritidshus,Äganderätt,4 rum,69 m²,9 m²,N/A,2 212 m²,1974,12 020 kr/år,Ja,N/A,"Vinterbonat fritidshus - Nysättra, Norrtälje kommun - Såld 30 oktober 2023",Stockholm,2 500 000 kr
N/A,1 395 000 kr,-115 000 kr (-8 %),Fritidshus,Annat,3 rum,40 m²,N/A,N/A,3 000 m²,1945,17 684 kr/år,N/A,N/A,"Fritidshus - Mörkö, Södertälje kommun - Såld 25 oktober 2023",Stockholm,1 280 000 kr
N/A,1 495 000 kr,-195 000 kr (-13 %),Fritidshus,Äganderätt,4 rum,42 m²,N/A,N/A,2 679 m²,1971,20 453 kr/år,N/A,N/A,"Fritidshus - Tungelsta, Haninge kommun - Såld 23 oktober 2023",Stockholm,1 300 000 kr
N/A,5 795 000 kr,-1 595 000 kr (-28 %),Fritidsboende,Äganderätt,3 rum,26 m²,9 m²,N/A,4 830 m²,1934,7 325 kr/år,Ja,N/A,"Fritidsboende - Seglarö, Österåkers kommun - Såld 22 oktober 2023",Stockholm,4 200 000 kr
N/A,3 995 000 kr,-145 000 kr (-4 %),Fritidshus,Äganderätt,3 rum,57 m²,9 m²,N/A,2 906 m²,1963,17 155 kr/år,N/A,N/A,"Fritidshus - Björkvik, Värmdö kommun - Såld 22 oktober 2023",Stockholm,3 850 000 kr
N/A,1 975 000 kr,-225 000 kr (-11 %),Fritidshus,Äganderätt,2 rum,37 m²,N/A,N/A,640 m²,1800,18 080 kr/år,N/A,N/A,"Fritidshus - Smara, Norrtälje kommun - Såld 20 oktober 2023",Stockholm,1 750 000 kr
N/A,3 900 000 kr,-900 000 kr (-23 %),Fritidshus,Äganderätt,3 rum,89 m²,N/A,N/A,1 056 m²,1927,39 229 kr/år,N/A,N/A,"Fritidshus - Yxlan, Norrtälje kommun - Såld 20 oktober 2023",Stockholm,3 000 000 kr
N/A,1 100 000 kr,-75 000 kr (-7 %),Fritidshus,Annat,1 rum,20 m²,N/A,N/A,255 m²,1988,3 900 kr/år,N/A,N/A,"Fritidshus - ULLNA KOLONIOMRÅDE, Täby kommun - Såld 19 oktober 2023",Stockholm,1 025 000 kr
N/A,1 300 000 kr,-300 000 kr (-23 %),Fritidshus,Äganderätt,3 rum,41 m²,24 m²,N/A,2 418 m²,1989,10 700 kr/år,N/A,N/A,"Fritidshus - Skeppsmyra, Norrtälje kommun - Såld 19 oktober 2023",Stockholm,1 000 000 kr
N/A,850 000 kr,-100 000 kr (-12 %),Fritidsboende,Annat,1 rum,40 m²,N/A,N/A,400 m²,1965,12 809 kr/år,Ja,N/A,"Fritidsboende - Gålö, Haninge kommun - Såld 18 oktober 2023",Stockholm,750 000 kr
N/A,1 995 000 kr,-70 000 kr (-4 %),Vinterbonat fritidshus,Äganderätt,3 rum,69 m²,N/A,N/A,2 121 m²,1976,19 611 kr/år,N/A,N/A,"Vinterbonat fritidshus - Grovstanäs, Norrtälje kommun - Såld 18 oktober 2023",Stockholm,1 925 000 kr
N/A,12 500 000 kr,-1 530 000 kr (-12 %),Fritidshus,Äganderätt,4 rum,58 m²,N/A,N/A,2 650 m²,1974,16 213 kr/år,N/A,N/A,"Fritidshus - Möjaskärgården, Värmdö kommun - Såld 18 oktober 2023",Stockholm,10 970 000 kr
N/A,1 395 000 kr,-245 000 kr (-18 %),Fritidshus,Äganderätt,5 rum,84 m²,37 m²,N/A,3 987 m²,1958,42 730 kr/år,N/A,N/A,"Fritidshus - Väddö, Norrtälje kommun - Såld 17 oktober 2023",Stockholm,1 150 000 kr
N/A,2 595 000 kr,-95 000 kr (-4 %),Fritidshus,Äganderätt,3 rum,62 m²,N/A,N/A,2 698 m²,1966,28 405 kr/år,N/A,N/A,"Fritidshus - Adelsö Hallsta, Ekerö kommun - Såld 17 oktober 2023",Stockholm,2 500 000 kr
N/A,2 295 000 kr,-295 000 kr (-13 %),Fritidshus,Äganderätt,5 rum,66 m²,N/A,N/A,2 297 m²,1965,24 159 kr/år,N/A,N/A,"Fritidshus - Sättra, Norrtälje kommun - Såld 16 oktober 2023",Stockholm,2 000 000 kr
N/A,3 495 000 kr,-300 000 kr (-9 %),Fritidshus,Äganderätt,3 rum,103 m²,N/A,N/A,2 410 m²,1970,68 526 kr/år,N/A,N/A,"Fritidshus - Muskö, Haninge kommun - Såld 14 oktober 2023",Stockholm,3 195 000 kr
N/A,1 995 000 kr,-345 000 kr (-17 %),Fritidshus,Äganderätt,3 rum,55 m²,N/A,N/A,1 775 m²,1969,14 425 kr/år,N/A,N/A,"Fritidshus - Havsskogen, Norrtälje kommun - Såld 13 oktober 2023",Stockholm,1 650 000 kr
N/A,950 000 kr,-125 000 kr (-13 %),Fritidshus,Äganderätt,2 rum,35 m²,N/A,N/A,3 175 m²,1963,1 720 kr/år,Ja,N/A,"Fritidshus - Gustavslund, Norrtälje kommun - Såld 13 oktober 2023",Stockholm,825 000 kr
N/A,1 495 000 kr,-310 000 kr (-21 %),Vinterbonat fritidshus,Äganderätt,3 rum,73 m²,14 m²,N/A,3 800 m²,1900,23 925 kr/år,N/A,N/A,"Vinterbonat fritidshus - Edsbro, Norrtälje kommun - Såld 12 oktober 2023",Stockholm,1 185 000 kr
N/A,2 475 000 kr,-50 000 kr (-2 %),Vinterbonat fritidshus,Äganderätt,2 rum,35 m²,N/A,N/A,1 730 m²,1850,53 459 kr/år,N/A,N/A,"Vinterbonat fritidshus - Rö, Norrtälje kommun - Såld 10 oktober 2023",Stockholm,2 425 000 kr
N/A,2 495 000 kr,-495 000 kr (-20 %),Vinterbonat fritidshus,Äganderätt,3 rum,57 m²,N/A,N/A,2 691 m²,1963,50 114 kr/år,Ja,N/A,"Vinterbonat fritidshus - Sorunda, Nynäshamns kommun - Såld 08 oktober 2023",Stockholm,2 000 000 kr
